name,prefix,seed,dim,k,beta,ari,nmi,sum
DCF,high_data,0,2,3,0.5,0.006882520083845748,0.45495769638485506,0.4618402164687008
DCF,high_data,0,2,5,0.5,0.052286447547619665,0.546671490640731,0.5989579381883506
DCF,high_data,0,2,6,0.5,0.09192461739910222,0.5876028597190365,0.6795274771181387
DCF,high_data,0,2,7,0.5,0.12767558788806363,0.6088871326656127,0.7365627205536763
DCF,high_data,0,2,8,0.5,0.20679088134089532,0.6339429651332401,0.8407338464741354
DCF,high_data,0,2,9,0.5,0.23914448868744187,0.6440234999099386,0.8831679885973804
DCF,high_data,0,2,10,0.5,0.2633237349816528,0.6618904242862957,0.9252141592679486
DCF,high_data,0,2,11,0.5,0.26922558841223965,0.6654038164798346,0.9346294048920742
DCF,high_data,0,2,12,0.5,0.27531057212080456,0.6695443123818853,0.9448548845026898
DCF,high_data,0,2,13,0.5,0.27017061489087735,0.6583552469508581,0.9285258618417355
DCF,high_data,0,2,14,0.5,0.34020672307430644,0.6959242169289276,1.036130940003234
DCF,high_data,0,2,15,0.5,0.3685718467579345,0.6909587888515965,1.0595306356095309
DCF,high_data,0,2,20,0.5,0.41358538085222524,0.6793055003013767,1.092890881153602
DCF,high_data,0,2,25,0.5,0.49178081117552525,0.6712096515029778,1.162990462678503
DCF,high_data,0,2,30,0.5,0.3705232067532137,0.5742535172089691,0.9447767239621828
DCF,high_data,0,2,35,0.5,0.22039395593558672,0.39916427760812623,0.619558233543713
DCF,high_data,0,2,40,0.5,0.28957451303619003,0.4527019331616445,0.7422764461978345
DCF,high_data,0,2,45,0.5,0.2928413444386615,0.4578464334330254,0.750687777871687
DCF,high_data,0,2,50,0.5,0.2984764769638983,0.4652172750039657,0.7636937519678639
DCF,high_data,0,2,55,0.5,0.3389757022746012,0.521666959967882,0.8606426622424832
DCF,high_data,0,2,60,0.5,0.3414585448937654,0.5234781299103344,0.8649366748040999
DCF,high_data,0,2,70,0.5,0.3068830511575017,0.46397425343358223,0.7708573045910839
DCF,high_data,0,2,80,0.5,0.21842746204129854,0.3825404411357374,0.6009679031770359
DCF,high_data,0,2,90,0.5,0.20593715621083838,0.34902155260002826,0.5549587088108666
DCF,high_data,0,2,100,0.5,0.20587130648287622,0.3486115389299888,0.554482845412865
DCF,high_data,0,2,3,0.8,0.007017290590524186,0.45527613231344144,0.46229342290396563
DCF,high_data,0,2,5,0.8,0.10036030222500912,0.5820197386628927,0.6823800408879018
DCF,high_data,0,2,6,0.8,0.2211238240706374,0.6529220871860584,0.8740459112566958
DCF,high_data,0,2,7,0.8,0.43165594817489145,0.720486935765525,1.1521428839404164
DCF,high_data,0,2,8,0.8,0.4109667041706223,0.6978572422898942,1.1088239464605165
DCF,high_data,0,2,9,0.8,0.5382247489529016,0.7163743389580345,1.254599087910936
DCF,high_data,0,2,10,0.8,0.6711195096783433,0.756722858152491,1.4278423678308343
DCF,high_data,0,2,11,0.8,0.6443993460384912,0.7396554982906363,1.3840548443291274
DCF,high_data,0,2,12,0.8,0.6708305934712311,0.7335263696033292,1.4043569630745603
DCF,high_data,0,2,13,0.8,0.7166271168923813,0.7959882658667042,1.5126153827590856
DCF,high_data,0,2,14,0.8,0.6731306979680287,0.7661205175084521,1.4392512154764807
DCF,high_data,0,2,15,0.8,0.5802383994618892,0.7009909394721316,1.2812293389340208
DCF,high_data,0,2,20,0.8,0.6931397830400645,0.7690339391306786,1.4621737221707432
DCF,high_data,0,2,25,0.8,0.24306621745277399,0.3863856058281641,0.6294518232809381
DCF,high_data,0,2,30,0.8,0.21727088374498216,0.38218278807211176,0.599453671817094
DCF,high_data,0,2,35,0.8,0.21699622761877524,0.3818377451252942,0.5988339727440695
DCF,high_data,0,2,40,0.8,0.21501513075698506,0.3597467067798809,0.5747618375368659
DCF,high_data,0,2,45,0.8,0.21514268046488919,0.36210395913908555,0.5772466396039747
DCF,high_data,0,2,50,0.8,0.2158314859416801,0.3644717513595039,0.580303237301184
DCF,high_data,0,2,55,0.8,0.21690455871104852,0.3650330850058124,0.5819376437168609
DCF,high_data,0,2,60,0.8,0.21632007516120158,0.3655253307775499,0.5818454059387514
DCF,high_data,0,2,70,0.8,0.21675927859565586,0.36562799499522297,0.5823872735908788
DCF,high_data,0,2,80,0.8,0.21842746204129854,0.3825404411357374,0.6009679031770359
DCF,high_data,0,2,90,0.8,0.20593715621083838,0.34902155260002826,0.5549587088108666
DCF,high_data,0,2,100,0.8,0.20587130648287622,0.3486115389299888,0.554482845412865
DCF,high_data,0,2,3,0.9,0.007039750834021004,0.45530338381844376,0.4623431346524648
DCF,high_data,0,2,5,0.9,0.1323050232661959,0.5983357258472363,0.7306407491134321
DCF,high_data,0,2,6,0.9,0.34036166001556273,0.683205583916768,1.0235672439323307
DCF,high_data,0,2,7,0.9,0.7270129267619115,0.7620398048015666,1.4890527315634783
DCF,high_data,0,2,8,0.9,0.8273527080652987,0.83985012472942,1.6672028327947186
DCF,high_data,0,2,9,0.9,0.8035662563332634,0.8277287808536972,1.6312950371869606
DCF,high_data,0,2,10,0.9,0.7476769949541904,0.7964713184580445,1.544148313412235
DCF,high_data,0,2,11,0.9,0.6786479743413498,0.7863891740203589,1.4650371483617088
DCF,high_data,0,2,12,0.9,0.6819103823495032,0.7701354755333478,1.452045857882851
DCF,high_data,0,2,13,0.9,0.6853596418418848,0.8081114411243815,1.4934710829662663
DCF,high_data,0,2,14,0.9,0.6892626249874891,0.7944784045892025,1.4837410295766915
DCF,high_data,0,2,15,0.9,0.6291429573335737,0.7475976431157855,1.3767406004493592
DCF,high_data,0,2,20,0.9,0.6921505641835283,0.805800868153672,1.4979514323372003
DCF,high_data,0,2,25,0.9,0.21994364236940717,0.38882401627128166,0.6087676586406888
DCF,high_data,0,2,30,0.9,0.21727088374498216,0.38218278807211176,0.599453671817094
DCF,high_data,0,2,35,0.9,0.21699622761877524,0.3818377451252942,0.5988339727440695
DCF,high_data,0,2,40,0.9,0.21501513075698506,0.3597467067798809,0.5747618375368659
DCF,high_data,0,2,45,0.9,0.21514268046488919,0.36210395913908555,0.5772466396039747
DCF,high_data,0,2,50,0.9,0.2158314859416801,0.3644717513595039,0.580303237301184
DCF,high_data,0,2,55,0.9,0.21690455871104852,0.3650330850058124,0.5819376437168609
DCF,high_data,0,2,60,0.9,0.21632007516120158,0.3655253307775499,0.5818454059387514
DCF,high_data,0,2,70,0.9,0.21675927859565586,0.36562799499522297,0.5823872735908788
DCF,high_data,0,2,80,0.9,0.21842746204129854,0.3825404411357374,0.6009679031770359
DCF,high_data,0,2,90,0.9,0.20593715621083838,0.34902155260002826,0.5549587088108666
DCF,high_data,0,2,100,0.9,0.20587130648287622,0.3486115389299888,0.554482845412865
DCF,high_data,0,2,3,0.95,0.007039750834021004,0.45530338381844376,0.4623431346524648
DCF,high_data,0,2,5,0.95,0.12522994824246667,0.5972096029986593,0.722439551241126
DCF,high_data,0,2,6,0.95,0.46399656997579747,0.7314837279299226,1.19548029790572
DCF,high_data,0,2,7,0.95,0.7769611503236972,0.8128655712782514,1.5898267216019486
DCF,high_data,0,2,8,0.95,0.8265392940692522,0.8578890712193269,1.684428365288579
DCF,high_data,0,2,9,0.95,0.7111506964118733,0.7870560389047768,1.4982067353166502
DCF,high_data,0,2,10,0.95,0.847746800290624,0.874185578336828,1.7219323786274519
DCF,high_data,0,2,11,0.95,0.7711315363814154,0.8396465679335937,1.6107781043150091
DCF,high_data,0,2,12,0.95,0.6764877307296965,0.7962093896718361,1.4726971204015324
DCF,high_data,0,2,13,0.95,0.6853888161682857,0.8084157033375196,1.4938045195058054
DCF,high_data,0,2,14,0.95,0.6847413742784546,0.8077213478924923,1.4924627221709468
DCF,high_data,0,2,15,0.95,0.6847710875372969,0.8085302835010023,1.4933013710382992
DCF,high_data,0,2,20,0.95,0.5820809648060201,0.7293142395888088,1.311395204394829
DCF,high_data,0,2,25,0.95,0.21994364236940717,0.38882401627128166,0.6087676586406888
DCF,high_data,0,2,30,0.95,0.21727088374498216,0.38218278807211176,0.599453671817094
DCF,high_data,0,2,35,0.95,0.21699622761877524,0.3818377451252942,0.5988339727440695
DCF,high_data,0,2,40,0.95,0.21501513075698506,0.3597467067798809,0.5747618375368659
DCF,high_data,0,2,45,0.95,0.22691857971912094,0.3876900277627648,0.6146086074818857
DCF,high_data,0,2,50,0.95,0.22766364766782143,0.3907244465896854,0.6183880942575068
DCF,high_data,0,2,55,0.95,0.22790703532097742,0.39078276414654717,0.6186897994675246
DCF,high_data,0,2,60,0.95,0.22768391524720247,0.3905947265153496,0.6182786417625521
DCF,high_data,0,2,70,0.95,0.22741641375350502,0.3855301469734209,0.612946560726926
DCF,high_data,0,2,80,0.95,0.0,0.0,0.0
DCF,high_data,0,2,90,0.95,0.0,0.0,0.0
DCF,high_data,0,2,100,0.95,0.0,0.0,0.0
DCF,high_data,0,2,3,0.96,0.007039750834021004,0.45530338381844376,0.4623431346524648
DCF,high_data,0,2,5,0.96,0.12567629432469615,0.597408164619373,0.7230844589440691
DCF,high_data,0,2,6,0.96,0.4939492782597186,0.7361638893685237,1.2301131676282424
DCF,high_data,0,2,7,0.96,0.8567236796956867,0.8494709023693884,1.7061945820650752
DCF,high_data,0,2,8,0.96,0.8411441163637823,0.863249051600927,1.7043931679647093
DCF,high_data,0,2,9,0.96,0.7111506964118733,0.7870560389047768,1.4982067353166502
DCF,high_data,0,2,10,0.96,0.7710074028323729,0.8387213289419367,1.6097287317743096
DCF,high_data,0,2,11,0.96,0.7711315363814154,0.8396465679335937,1.6107781043150091
DCF,high_data,0,2,12,0.96,0.6764877307296965,0.7962093896718361,1.4726971204015324
DCF,high_data,0,2,13,0.96,0.6856468534739366,0.8111935979857489,1.4968404514596854
DCF,high_data,0,2,14,0.96,0.6850786146936065,0.8113494600723969,1.4964280747660035
DCF,high_data,0,2,15,0.96,0.6847710875372969,0.8085302835010023,1.4933013710382992
DCF,high_data,0,2,20,0.96,0.5820809648060201,0.7293142395888088,1.311395204394829
DCF,high_data,0,2,25,0.96,0.21994364236940717,0.38882401627128166,0.6087676586406888
DCF,high_data,0,2,30,0.96,0.21727088374498216,0.38218278807211176,0.599453671817094
DCF,high_data,0,2,35,0.96,0.2311000509474887,0.4102264027063884,0.6413264536538771
DCF,high_data,0,2,40,0.96,0.22694629651156567,0.3877910869773317,0.6147373834888974
DCF,high_data,0,2,45,0.96,0.22691857971912094,0.3876900277627648,0.6146086074818857
DCF,high_data,0,2,50,0.96,0.22766364766782143,0.3907244465896854,0.6183880942575068
DCF,high_data,0,2,55,0.96,0.22790703532097742,0.39078276414654717,0.6186897994675246
DCF,high_data,0,2,60,0.96,0.22768391524720247,0.3905947265153496,0.6182786417625521
DCF,high_data,0,2,70,0.96,0.22741641375350502,0.3855301469734209,0.612946560726926
DCF,high_data,0,2,80,0.96,0.0,0.0,0.0
DCF,high_data,0,2,90,0.96,0.0,0.0,0.0
DCF,high_data,0,2,100,0.96,0.0,0.0,0.0
DCF,high_data,0,2,3,0.97,0.007039750834021004,0.45530338381844376,0.4623431346524648
DCF,high_data,0,2,5,0.97,0.16128784061278464,0.6041190657897906,0.7654069064025752
DCF,high_data,0,2,6,0.97,0.4939492782597186,0.7361638893685237,1.2301131676282424
DCF,high_data,0,2,7,0.97,0.8567236796956867,0.8494709023693884,1.7061945820650752
DCF,high_data,0,2,8,0.97,0.8411441163637823,0.863249051600927,1.7043931679647093
