name,prefix,seed,dim,n_clusters,reconstruction_loss_weight,embedding_size,ari,nmi,sum
DipEncoder,high_data,4,2,10,,2,0.4474387783842518,0.627028617054281,1.0744673954385329
DipEncoder,high_data,4,2,10,10,2,0.4441562070369628,0.5920166980036802,1.036172905040643
DipEncoder,high_data,4,2,10,100,2,0.4198665369334072,0.5842360472764262,1.0041025842098334
DipEncoder,high_data,4,2,10,1000,2,0.4336796922120543,0.5964795893042337,1.030159281516288
DipEncoder,high_data,4,5,10,,2,0.23820782780742056,0.4357534700764319,0.6739612978838525
DipEncoder,high_data,4,5,10,,5,0.3507367250753942,0.5403671784158732,0.8911039034912674
DipEncoder,high_data,4,5,10,10,2,0.2514920033844609,0.4136248871684742,0.6651168905529351
DipEncoder,high_data,4,5,10,10,5,0.40506302762882124,0.5524616162077317,0.957524643836553
DipEncoder,high_data,4,5,10,100,2,0.25918053976745054,0.44364394736960433,0.7028244871370548
DipEncoder,high_data,4,5,10,100,5,0.3207766846675874,0.5365694291586094,0.8573461138261969
DipEncoder,high_data,4,5,10,1000,2,0.25510209810385664,0.45198131075873116,0.7070834088625878
DipEncoder,high_data,4,5,10,1000,5,0.35522804778626693,0.5203336927523345,0.8755617405386015
DipEncoder,high_data,4,10,10,,2,0.5388686401028685,0.6861395238140978,1.2250081639169663
DipEncoder,high_data,4,10,10,,5,0.3309546685487298,0.5785109589507027,0.9094656274994325
DipEncoder,high_data,4,10,10,,10,0.6480542675221764,0.7941800196195701,1.4422342871417464
DipEncoder,high_data,4,10,10,10,2,0.5757093973404995,0.7041362967237471,1.2798456940642466
DipEncoder,high_data,4,10,10,10,5,0.325852005147748,0.6031644080688833,0.9290164132166312
DipEncoder,high_data,4,10,10,10,10,0.6461291785234337,0.7822627741050425,1.428391952628476
DipEncoder,high_data,4,10,10,100,2,0.3528313532006606,0.5645980262925537,0.9174293794932143
DipEncoder,high_data,4,10,10,100,5,0.41980595220627087,0.6350797991197775,1.0548857513260483
DipEncoder,high_data,4,10,10,100,10,0.5904282527734476,0.7188741997093945,1.309302452482842
DipEncoder,high_data,4,10,10,1000,2,0.4869216867114954,0.6584230422464883,1.1453447289579837
DipEncoder,high_data,4,10,10,1000,5,0.3198953924248247,0.5463095417942504,0.8662049342190751
DipEncoder,high_data,4,10,10,1000,10,0.5808206389081156,0.7117481440112035,1.292568782919319
DipEncoder,high_data,4,50,10,,2,0.6870841697630291,0.7838589307095223,1.4709431004725513
DipEncoder,high_data,4,50,10,,5,0.5919839513609585,0.74966202000929,1.3416459713702484
DipEncoder,high_data,4,50,10,,10,0.6044708739810294,0.7690168290098968,1.3734877029909263
DipEncoder,high_data,4,50,10,10,2,0.5821239943214698,0.7349555913208947,1.3170795856423645
DipEncoder,high_data,4,50,10,10,5,0.5994230472624986,0.7549273098604912,1.3543503571229898
DipEncoder,high_data,4,50,10,10,10,0.6036652062278818,0.7654226203281204,1.3690878265560023
DipEncoder,high_data,4,50,10,100,2,0.6652875317452003,0.7811844663611828,1.4464719981063832
DipEncoder,high_data,4,50,10,100,5,0.5978919654692288,0.7504158862378061,1.3483078517070348
DipEncoder,high_data,4,50,10,100,10,0.6083206813036325,0.7618072315116402,1.3701279128152728
DipEncoder,high_data,4,50,10,1000,2,0.6773736154409095,0.7661351783854646,1.443508793826374
DipEncoder,high_data,4,50,10,1000,5,0.606152921852719,0.7615190727289213,1.3676719945816402
DipEncoder,high_data,4,50,10,1000,10,0.6079306136222005,0.7597238218898945,1.367654435512095
DipEncoder,high_data,4,100,10,,2,0.5382224100678101,0.7495273747164068,1.287749784784217
DipEncoder,high_data,4,100,10,,5,0.4469123232776767,0.7019087760421875,1.1488210993198642
DipEncoder,high_data,4,100,10,,10,0.4400056303661237,0.6692694890386625,1.1092751194047863
DipEncoder,high_data,4,100,10,10,2,0.6542258294586007,0.7963539919238047,1.4505798213824055
DipEncoder,high_data,4,100,10,10,5,0.4066521417061376,0.6632365084836962,1.0698886501898337
DipEncoder,high_data,4,100,10,10,10,0.47438886811270364,0.6851995677718948,1.1595884358845985
DipEncoder,high_data,4,100,10,100,2,0.3511803405360021,0.6452434581550703,0.9964237986910724
DipEncoder,high_data,4,100,10,100,5,0.5549041338552109,0.7642436645030322,1.3191477983582431
DipEncoder,high_data,4,100,10,100,10,0.3116034258067358,0.5558790642556183,0.8674824900623541
DipEncoder,high_data,4,100,10,1000,2,0.5924225623452605,0.745820444472427,1.3382430068176876
DipEncoder,high_data,4,100,10,1000,5,0.4594000661748853,0.6738881087189473,1.1332881748938326
DipEncoder,high_data,4,100,10,1000,10,0.4620152716909033,0.6554760594454873,1.1174913311363905
