name,prefix,seed,dim,variance,k,min_cluster_size,ari,nmi,sum
MultiDensityDBSCAN,high_data,0,2,1,5,2,0.002948140542692809,0.42234270127012125,0.42529084181281407
MultiDensityDBSCAN,high_data,0,2,1,5,3,0.007591036516430774,0.43119101394894044,0.4387820504653712
MultiDensityDBSCAN,high_data,0,2,1,5,5,0.010900232592597155,0.43312407611009873,0.4440243087026959
MultiDensityDBSCAN,high_data,0,2,1,5,10,0.03604213502130692,0.4244984577505548,0.4605405927718617
MultiDensityDBSCAN,high_data,0,2,1,5,15,0.026574561856229032,0.38335946892384776,0.4099340307800768
MultiDensityDBSCAN,high_data,0,2,1,5,20,0.01591946175117704,0.32074513758430606,0.3366645993354831
MultiDensityDBSCAN,high_data,0,2,1,5,25,0.02168571207908286,0.30182106098891487,0.32350677306799774
MultiDensityDBSCAN,high_data,0,2,1,6,2,0.0031228970968666327,0.42458069289528344,0.4277035899921501
MultiDensityDBSCAN,high_data,0,2,1,6,3,0.0074440269785802605,0.4339632888090514,0.44140731578763165
MultiDensityDBSCAN,high_data,0,2,1,6,5,0.011436756220391085,0.43938696613167394,0.450823722352065
MultiDensityDBSCAN,high_data,0,2,1,6,10,0.030373229067694917,0.43823514942046,0.4686083784881549
MultiDensityDBSCAN,high_data,0,2,1,6,15,0.028186575012248836,0.3881165597451384,0.4163031347573873
MultiDensityDBSCAN,high_data,0,2,1,6,20,0.022168097675892798,0.36951477670531196,0.39168287438120475
MultiDensityDBSCAN,high_data,0,2,1,6,25,0.01938239373411671,0.35813115970148396,0.37751355343560067
MultiDensityDBSCAN,high_data,0,2,1,7,2,0.002793048893216289,0.4247612553660497,0.427554304259266
MultiDensityDBSCAN,high_data,0,2,1,7,3,0.006597502976477274,0.43763559351621506,0.4442330964926923
MultiDensityDBSCAN,high_data,0,2,1,7,5,0.012245353621906813,0.4460019330211314,0.4582472866430382
MultiDensityDBSCAN,high_data,0,2,1,7,10,0.028287908522854444,0.4481764706068303,0.47646437912968476
