name,prefix,seed,dim,k,nn,alpha,theta,ari,nmi,sum
SCAR,high_data,5,50,10,20,0.5,5000,0.08838324330915329,0.1969608819623087,0.285344125271462
SCAR,high_data,5,50,10,20,0.6,5000,0.10257458524964111,0.20479996801389985,0.30737455326354096
SCAR,high_data,5,50,10,20,0.7,5000,0.0010511968855361272,0.016935522821152366,0.017986719706688494
SCAR,high_data,5,50,10,20,0.8,5000,0.23003311675010327,0.3302183719968803,0.5602514887469836
SCAR,high_data,5,50,10,20,0.9,5000,0.004545665376706038,0.03724092031407857,0.04178658569078461
SCAR,high_data,5,50,10,25,0.5,5000,0.1220293429961246,0.24987727432151002,0.37190661731763464
SCAR,high_data,5,50,10,25,0.6,5000,0.1704368562697744,0.3504254820250155,0.5208623382947899
SCAR,high_data,5,50,10,25,0.7,5000,0.07894725391302368,0.2561076287881627,0.33505488270118633
SCAR,high_data,5,50,10,25,0.8,5000,0.12936131040619644,0.28538519283502295,0.4147465032412194
SCAR,high_data,5,50,10,25,0.9,5000,0.09022136743308592,0.38933660764467665,0.47955797507776254
SCAR,high_data,5,50,10,28,0.5,5000,0.17782292867632882,0.36196744372633793,0.5397903724026667
SCAR,high_data,5,50,10,28,0.6,5000,0.23789032308568997,0.42668359773976433,0.6645739208254543
SCAR,high_data,5,50,10,28,0.7,5000,0.30241723270194026,0.523965524148672,0.8263827568506124
SCAR,high_data,5,50,10,28,0.8,5000,0.20894362085490747,0.42831969822532595,0.6372633190802335
SCAR,high_data,5,50,10,28,0.9,5000,0.30480865870034407,0.5755200942814451,0.8803287529817891
SCAR,high_data,5,50,10,30,0.5,5000,0.16073255559195604,0.3535749338361321,0.5143074894280881
SCAR,high_data,5,50,10,30,0.6,5000,0.2013918971044076,0.39169792694917244,0.59308982405358
SCAR,high_data,5,50,10,30,0.7,5000,0.2695228893858409,0.5035128343446427,0.7730357237304836
SCAR,high_data,5,50,10,30,0.8,5000,0.23280704567602872,0.5019459053939045,0.7347529510699332
SCAR,high_data,5,50,10,30,0.9,5000,0.37769456074519897,0.6423944061559701,1.020088966901169
SCAR,high_data,5,50,10,40,0.5,5000,0.15588730322826005,0.3473855960804256,0.5032728993086857
SCAR,high_data,5,50,10,40,0.6,5000,0.23335846597360385,0.44651630299368256,0.6798747689672864
SCAR,high_data,5,50,10,40,0.7,5000,0.4103583418065618,0.5804636725476015,0.9908220143541633
SCAR,high_data,5,50,10,40,0.8,5000,0.32271517747317063,0.5532339200601971,0.8759490975333677
SCAR,high_data,5,50,10,40,0.9,5000,0.36319827702914464,0.6092500661810715,0.9724483432102161
SCAR,high_data,5,50,10,50,0.5,5000,0.26098199552837614,0.46308809391846845,0.7240700894468446
SCAR,high_data,5,50,10,50,0.6,5000,0.31653694474789656,0.5123137175008634,0.8288506622487599
SCAR,high_data,5,50,10,50,0.7,5000,0.4050060979694286,0.5925895205588615,0.9975956185282902
SCAR,high_data,5,50,10,50,0.8,5000,0.4119167419612752,0.6492027321848116,1.0611194741460868
SCAR,high_data,5,50,10,50,0.9,5000,0.4235774282816968,0.6663534550387731,1.08993088332047
SCAR,high_data,5,50,10,75,0.5,5000,0.3057636271783964,0.5312793798733815,0.8370430070517778
SCAR,high_data,5,50,10,75,0.6,5000,0.33669167266445105,0.5530656399116458,0.8897573125760969
SCAR,high_data,5,50,10,75,0.7,5000,0.5516710756233819,0.7026107393146396,1.2542818149380215
SCAR,high_data,5,50,10,75,0.8,5000,0.36724109372486957,0.6270351217832093,0.9942762155080789
SCAR,high_data,5,50,10,75,0.9,5000,0.4075039388616146,0.6520276194262496,1.0595315582878642
SCAR,high_data,5,50,10,100,0.5,5000,0.308811684676765,0.5351330296545385,0.8439447143313035
SCAR,high_data,5,50,10,100,0.6,5000,0.4569039667251898,0.6389082605396574,1.0958122272648472
SCAR,high_data,5,50,10,100,0.7,5000,0.7135878052853095,0.8058419486386829,1.5194297539239923
SCAR,high_data,5,50,10,100,0.8,5000,0.38009312861696415,0.6694081859472559,1.04950131456422
SCAR,high_data,5,50,10,100,0.9,5000,0.412098051333875,0.6976992334989905,1.1097972848328657
SCAR,high_data,5,100,10,20,0.5,5000,0.059836500465097656,0.14683638684222342,0.20667288730732108
SCAR,high_data,5,100,10,20,0.6,5000,0.11813241015691327,0.1972391394756224,0.31537154963253566
SCAR,high_data,5,100,10,20,0.7,5000,0.02696396698789053,0.12285331472761728,0.14981728171550782
SCAR,high_data,5,100,10,20,0.8,5000,0.07954391300948484,0.16544546842191463,0.24498938143139948
SCAR,high_data,5,100,10,20,0.9,5000,0.06443865848801042,0.20755553671228955,0.2719941952003
SCAR,high_data,5,100,10,25,0.5,5000,0.1240317609081643,0.2753935789520291,0.3994253398601934
SCAR,high_data,5,100,10,25,0.6,5000,0.14743602202048803,0.28070107314273135,0.4281370951632194
SCAR,high_data,5,100,10,25,0.7,5000,0.16567489725198975,0.31697356887634703,0.4826484661283368
SCAR,high_data,5,100,10,25,0.8,5000,0.21176980598535952,0.3846181508855473,0.5963879568709068
SCAR,high_data,5,100,10,25,0.9,5000,0.3751465619465584,0.48235671046294054,0.8575032724094989
SCAR,high_data,5,100,10,28,0.5,5000,0.16872484305105923,0.32689971329764134,0.49562455634870056
