name,prefix,seed,dim,density_threshold,distance_threshold,gauss_cutoff,ari,nmi,sum
dpca,high_data,0,2,0.01,0.01,True,0.06659564867527351,0.37873005282660077,0.4453257015018743
dpca,high_data,0,2,0.01,0.02,True,0.23320814694824604,0.4944269092522733,0.7276350562005194
dpca,high_data,0,2,0.01,0.03,True,0.38205796971534123,0.5673441258967836,0.9494020956121249
dpca,high_data,0,2,0.01,0.04,True,0.37542025643250865,0.5693829812398395,0.9448032376723482
dpca,high_data,0,2,0.01,0.05,True,0.4318178863249463,0.576937816405034,1.0087557027299803
dpca,high_data,0,2,0.01,0.06,True,0.4176471877526876,0.565266228783437,0.9829134165361246
dpca,high_data,0,2,0.01,0.07,True,0.40797655267059296,0.5630610035944577,0.9710375562650506
dpca,high_data,0,2,0.01,0.08,True,0.3941716496304626,0.5588709284910627,0.9530425781215253
dpca,high_data,0,2,0.01,0.09,True,0.3667611736055218,0.5476658887724911,0.9144270623780129
dpca,high_data,0,2,0.01,0.1,True,0.41128547184095876,0.575254827722879,0.9865402995638377
dpca,high_data,0,2,0.01,0.15,True,0.317641572155369,0.5353420510531294,0.8529836232084984
dpca,high_data,0,2,0.01,0.2,True,0.05444893575287617,0.23179171935253698,0.28624065510541313
dpca,high_data,0,2,0.01,0.3,True,0.0,0.0,0.0
dpca,high_data,0,2,0.01,0.4,True,0.0,0.0,0.0
dpca,high_data,0,2,0.01,,True,0.3993749034685502,0.5718057697551103,0.9711806732236605
dpca,high_data,0,2,0.02,0.01,True,0.06649244801518318,0.3786756516223795,0.44516809963756265
dpca,high_data,0,2,0.02,0.02,True,0.23301424749578206,0.494402637694053,0.727416885189835
dpca,high_data,0,2,0.02,0.03,True,0.3820617582307474,0.5675170251788253,0.9495787834095727
dpca,high_data,0,2,0.02,0.04,True,0.37542927805379506,0.569630332459398,0.945059610513193
dpca,high_data,0,2,0.02,0.05,True,0.4318238857420819,0.5771084923359598,1.0089323780780417
dpca,high_data,0,2,0.02,0.06,True,0.4176471877526876,0.565266228783437,0.9829134165361246
dpca,high_data,0,2,0.02,0.07,True,0.40797655267059296,0.5630610035944577,0.9710375562650506
dpca,high_data,0,2,0.02,0.08,True,0.3941716496304626,0.5588709284910627,0.9530425781215253
dpca,high_data,0,2,0.02,0.09,True,0.3667611736055218,0.5476658887724911,0.9144270623780129
dpca,high_data,0,2,0.02,0.1,True,0.41128547184095876,0.575254827722879,0.9865402995638377
dpca,high_data,0,2,0.02,0.15,True,0.317641572155369,0.5353420510531294,0.8529836232084984
