name,prefix,seed,dim,n_clusters,n_init,ari,nmi,sum
ldakmeans,high_data,8,2,10,1,0.4747846498616577,0.6010227120932029,1.0758073619548605
ldakmeans,high_data,8,2,10,2,0.4766229699501816,0.6017007608792102,1.0783237308293918
ldakmeans,high_data,8,2,10,3,0.4766229699501816,0.6017007608792102,1.0783237308293918
ldakmeans,high_data,8,2,10,4,0.4766229699501816,0.6017007608792102,1.0783237308293918
ldakmeans,high_data,8,2,10,5,0.4766229699501816,0.6017007608792102,1.0783237308293918
ldakmeans,high_data,8,2,10,6,0.4766229699501816,0.6017007608792102,1.0783237308293918
ldakmeans,high_data,8,2,10,7,0.4766229699501816,0.6017007608792102,1.0783237308293918
ldakmeans,high_data,8,2,10,8,0.4766229699501816,0.6017007608792102,1.0783237308293918
ldakmeans,high_data,8,2,10,9,0.4766229699501816,0.6017007608792102,1.0783237308293918
ldakmeans,high_data,8,2,10,10,0.4766229699501816,0.6017007608792102,1.0783237308293918
ldakmeans,high_data,8,5,10,1,0.3101902053763409,0.516411273956161,0.8266014793325019
ldakmeans,high_data,8,5,10,2,0.30939126239429576,0.5169337797343755,0.8263250421286712
ldakmeans,high_data,8,5,10,3,0.30939126239429576,0.5169337797343755,0.8263250421286712
ldakmeans,high_data,8,5,10,4,0.30939126239429576,0.5169337797343755,0.8263250421286712
ldakmeans,high_data,8,5,10,5,0.30939126239429576,0.5169337797343755,0.8263250421286712
ldakmeans,high_data,8,5,10,6,0.30939126239429576,0.5169337797343755,0.8263250421286712
ldakmeans,high_data,8,5,10,7,0.30939126239429576,0.5169337797343755,0.8263250421286712
ldakmeans,high_data,8,5,10,8,0.30939126239429576,0.5169337797343755,0.8263250421286712
ldakmeans,high_data,8,5,10,9,0.310578458003516,0.5150671370437409,0.8256455950472569
ldakmeans,high_data,8,5,10,10,0.310578458003516,0.5150671370437409,0.8256455950472569
ldakmeans,high_data,8,10,10,1,0.5601668367783396,0.6875951914860169,1.2477620282643564
ldakmeans,high_data,8,10,10,2,0.5601668367783396,0.6875951914860169,1.2477620282643564
ldakmeans,high_data,8,10,10,3,0.5601668367783396,0.6875951914860169,1.2477620282643564
ldakmeans,high_data,8,10,10,4,0.5601668367783396,0.6875951914860169,1.2477620282643564
ldakmeans,high_data,8,10,10,5,0.5601668367783396,0.6875951914860169,1.2477620282643564
ldakmeans,high_data,8,10,10,6,0.5601668367783396,0.6875951914860169,1.2477620282643564
ldakmeans,high_data,8,10,10,7,0.5601668367783396,0.6875951914860169,1.2477620282643564
ldakmeans,high_data,8,10,10,8,0.5601668367783396,0.6875951914860169,1.2477620282643564
ldakmeans,high_data,8,10,10,9,0.5601668367783396,0.6875951914860169,1.2477620282643564
ldakmeans,high_data,8,10,10,10,0.5601668367783396,0.6875951914860169,1.2477620282643564
ldakmeans,high_data,8,50,10,1,0.5521822525244272,0.7122826065311799,1.2644648590556071
ldakmeans,high_data,8,50,10,2,0.5701944875087842,0.7457587884392313,1.3159532759480155
ldakmeans,high_data,8,50,10,3,0.5485208228542999,0.7062122998043844,1.2547331226586844
ldakmeans,high_data,8,50,10,4,0.5683607466354835,0.7426320237977658,1.3109927704332494
ldakmeans,high_data,8,50,10,5,0.5485743276565277,0.7059982496306288,1.2545725772871565
ldakmeans,high_data,8,50,10,6,0.552909858654281,0.7092285403977108,1.2621383990519917
ldakmeans,high_data,8,50,10,7,0.5679055628015741,0.743147145003117,1.311052707804691
ldakmeans,high_data,8,50,10,8,0.5718153408892089,0.749085017206243,1.320900358095452
ldakmeans,high_data,8,50,10,9,0.5631711493317664,0.736283804397721,1.2994549537294873
ldakmeans,high_data,8,50,10,10,0.522552886404625,0.6949807835125466,1.2175336699171715
ldakmeans,high_data,8,100,10,1,0.674379473263336,0.8044113904590302,1.4787908637223661
ldakmeans,high_data,8,100,10,2,0.6739700340342656,0.8038907423921289,1.4778607764263945
ldakmeans,high_data,8,100,10,3,0.6751487269551584,0.8052721707801294,1.4804208977352877
ldakmeans,high_data,8,100,10,4,0.6753290354295411,0.8052823551689593,1.4806113905985003
ldakmeans,high_data,8,100,10,5,0.6809584868767325,0.8083943640111637,1.4893528508878964
ldakmeans,high_data,8,100,10,6,0.6733697499854213,0.8033282771445486,1.47669802712997
ldakmeans,high_data,8,100,10,7,0.6740534416488849,0.805411974854104,1.4794654165029888
ldakmeans,high_data,8,100,10,8,0.674456473011786,0.8046318855666024,1.4790883585783883
ldakmeans,high_data,8,100,10,9,0.6740291460286719,0.8043766440242187,1.4784057900528906
ldakmeans,high_data,8,100,10,10,0.6737955679440936,0.8046178202457036,1.4784133881897972
