cores,step,branch,star,momentum,seed,id 25,id 50,id 75,id 90,id 95,id 99
100,1,0.05,0,0.5,0,1,1,3,7,11,57
100,1.25,0.05,0,0.5,0,1,1,3,6,9,39
100,1.5,0.05,0,0.5,0,1,1,3,6,9,29
100,1.75,0.05,0,0.5,0,1,1,3,6,9,24
100,2,0.05,0,0.5,0,1,1,3,6,9,22
500,1,0.05,0,0.5,0,1,3,6,13,21,50
500,1.25,0.05,0,0.5,0,1,3,6,13,20,47
500,1.5,0.05,0,0.5,0,1,3,6,12,20,45
500,1.75,0.05,0,0.5,0,1,3,6,12,20,45
500,2,0.05,0,0.5,0,1,3,6,12,20,44
1000,1,0.05,0,0.5,0,2,3,9,19,29,61
1000,1.25,0.05,0,0.5,0,2,3,8,18,29,59
1000,1.5,0.05,0,0.5,0,2,3,8,18,29,58
1000,1.75,0.05,0,0.5,0,2,3,8,18,28,58
1000,2,0.05,0,0.5,0,2,3,8,18,28,57
100,1,0.05,0,0.5,1,1,1,2,5,8,38
100,1.25,0.05,0,0.5,1,1,1,2,5,8,24
100,1.5,0.05,0,0.5,1,1,1,2,5,7,19
100,1.75,0.05,0,0.5,1,1,1,2,5,7,17
100,2,0.05,0,0.5,1,1,1,2,5,7,17
500,1,0.05,0,0.5,1,1,2,4,10,16,40
500,1.25,0.05,0,0.5,1,1,2,4,10,16,38
500,1.5,0.05,0,0.5,1,1,2,4,10,15,37
500,1.75,0.05,0,0.5,1,1,2,4,10,15,36
500,2,0.05,0,0.5,1,1,2,4,10,15,36
1000,1,0.05,0,0.5,1,1,2,5,13,22,53
1000,1.25,0.05,0,0.5,1,1,2,5,13,22,52
1000,1.5,0.05,0,0.5,1,1,2,5,13,22,51
1000,1.75,0.05,0,0.5,1,1,2,5,13,22,50
1000,2,0.05,0,0.5,1,1,2,5,13,22,50
100,1,0.05,0,0.5,2,1,1,3,6,10,50
100,1.25,0.05,0,0.5,2,1,1,3,6,9,32
100,1.5,0.05,0,0.5,2,1,1,3,6,8,24
100,1.75,0.05,0,0.5,2,1,1,3,6,8,21
100,2,0.05,0,0.5,2,1,1,3,5,8,19
500,1,0.05,0,0.5,2,1,1,4,10,16,41
500,1.25,0.05,0,0.5,2,1,1,4,10,16,39
500,1.5,0.05,0,0.5,2,1,1,4,10,16,38
500,1.75,0.05,0,0.5,2,1,1,4,10,16,37
500,2,0.05,0,0.5,2,1,1,4,10,16,37
1000,1,0.05,0,0.5,2,1,2,6,16,26,56
1000,1.25,0.05,0,0.5,2,1,2,6,16,26,55
1000,1.5,0.05,0,0.5,2,1,2,6,16,25,54
1000,1.75,0.05,0,0.5,2,1,2,6,16,25,54
1000,2,0.05,0,0.5,2,1,2,6,16,25,53
100,1,0.05,0,0.5,3,1,2,3,6,10,51
100,1.25,0.05,0,0.5,3,1,2,3,6,9,34
100,1.5,0.05,0,0.5,3,1,2,3,5,9,25
100,1.75,0.05,0,0.5,3,1,2,3,5,8,21
100,2,0.05,0,0.5,3,1,2,3,5,8,20
500,1,0.05,0,0.5,3,1,3,7,12,20,47
500,1.25,0.05,0,0.5,3,1,3,6,12,19,44
500,1.5,0.05,0,0.5,3,1,3,6,12,19,43
500,1.75,0.05,0,0.5,3,1,3,6,12,19,42
500,2,0.05,0,0.5,3,1,3,6,12,19,42
1000,1,0.05,0,0.5,3,2,3,8,16,26,56
1000,1.25,0.05,0,0.5,3,2,3,8,16,25,55
1000,1.5,0.05,0,0.5,3,2,3,8,16,25,54
1000,1.75,0.05,0,0.5,3,2,3,8,16,25,53
1000,2,0.05,0,0.5,3,2,3,8,16,25,53
100,1,0.05,0,0.5,4,1,1,3,6,9,47
100,1.25,0.05,0,0.5,4,1,1,3,6,8,30
100,1.5,0.05,0,0.5,4,1,1,3,5,8,23
100,1.75,0.05,0,0.5,4,1,1,3,5,8,20
100,2,0.05,0,0.5,4,1,1,3,5,8,19
500,1,0.05,0,0.5,4,1,2,5,11,17,44
500,1.25,0.05,0,0.5,4,1,2,4,10,17,41
500,1.5,0.05,0,0.5,4,1,2,4,10,17,40
500,1.75,0.05,0,0.5,4,1,2,4,10,17,39
