name,prefix,seed,dim,epsilon,min_samples,ari,nmi,sum
DBSCAN,low_data,0,2,0.001,2,-0.03843246651813062,0.21433166131800302,0.1758991947998724
DBSCAN,low_data,0,2,0.001,3,-0.02480537120376179,0.10769284209299326,0.08288747088923147
DBSCAN,low_data,0,2,0.001,4,-0.008092413644473058,0.03702279998342371,0.028930386338950655
DBSCAN,low_data,0,2,0.001,5,-0.0019935621772132475,0.011958384991075167,0.00996482281386192
DBSCAN,low_data,0,2,0.001,6,-0.0006618439127046295,0.006326842143644342,0.005664998230939713
DBSCAN,low_data,0,2,0.001,7,-0.0004585969940843288,0.0020501461258212086,0.0015915491317368797
DBSCAN,low_data,0,2,0.001,8,0.0,0.0,0.0
DBSCAN,low_data,0,2,0.001,9,0.0,0.0,0.0
DBSCAN,low_data,0,2,0.001,10,0.0,0.0,0.0
DBSCAN,low_data,0,2,0.001,11,0.0,0.0,0.0
DBSCAN,low_data,0,2,0.001,12,0.0,0.0,0.0
DBSCAN,low_data,0,2,0.001,13,0.0,0.0,0.0
DBSCAN,low_data,0,2,0.001,14,0.0,0.0,0.0
DBSCAN,low_data,0,2,0.001,15,0.0,0.0,0.0
DBSCAN,low_data,0,2,0.001,16,0.0,0.0,0.0
DBSCAN,low_data,0,2,0.001,17,0.0,0.0,0.0
DBSCAN,low_data,0,2,0.001,18,0.0,0.0,0.0
DBSCAN,low_data,0,2,0.001,19,0.0,0.0,0.0
DBSCAN,low_data,0,2,0.001,20,0.0,0.0,0.0
DBSCAN,low_data,0,2,0.002,2,-0.007539114265228914,0.3642500634790179,0.356710949213789
DBSCAN,low_data,0,2,0.002,3,-0.03313151370769959,0.3065490282457818,0.2734175145380822
DBSCAN,low_data,0,2,0.002,4,-0.044268751032850835,0.24134569050075694,0.1970769394679061
DBSCAN,low_data,0,2,0.002,5,-0.043139109162331206,0.19010514911336665,0.14696603995103544
DBSCAN,low_data,0,2,0.002,6,-0.033727569002927026,0.14063546392113566,0.10690789491820862
DBSCAN,low_data,0,2,0.002,7,-0.021846798559283884,0.09465787097311516,0.07281107241383128
DBSCAN,low_data,0,2,0.002,8,-0.011306278166524538,0.04765284673031858,0.03634656856379404
DBSCAN,low_data,0,2,0.002,9,-0.006106456016960223,0.026878354481166718,0.020771898464206497
DBSCAN,low_data,0,2,0.002,10,-0.003228567190456867,0.014313438683221344,0.011084871492764476
DBSCAN,low_data,0,2,0.002,11,-0.001600150673228859,0.007274126020298201,0.005673975347069342
DBSCAN,low_data,0,2,0.002,12,-0.0009036237573382313,0.00409125951913442,0.003187635761796189
DBSCAN,low_data,0,2,0.002,13,-0.0008408833603633589,0.0038001249034022105,0.0029592415430388513
DBSCAN,low_data,0,2,0.002,14,0.0,0.0,0.0
DBSCAN,low_data,0,2,0.002,15,0.0,0.0,0.0
DBSCAN,low_data,0,2,0.002,16,0.0,0.0,0.0
DBSCAN,low_data,0,2,0.002,17,0.0,0.0,0.0
DBSCAN,low_data,0,2,0.002,18,0.0,0.0,0.0
DBSCAN,low_data,0,2,0.002,19,0.0,0.0,0.0
DBSCAN,low_data,0,2,0.002,20,0.0,0.0,0.0
DBSCAN,low_data,0,2,0.003,2,0.27380087884492055,0.519775343094645,0.7935762219395656
DBSCAN,low_data,0,2,0.003,3,0.19759359505394786,0.5010223572984543,0.6986159523524023
DBSCAN,low_data,0,2,0.003,4,0.09747554526678189,0.4521422066776203,0.5496177519444022
DBSCAN,low_data,0,2,0.003,5,0.054841252327844585,0.4089908533272857,0.4638321056551303
DBSCAN,low_data,0,2,0.003,6,-0.00692137036533946,0.34403899734390986,0.3371176269785704
DBSCAN,low_data,0,2,0.003,7,-0.02613918318621552,0.297192412081467,0.2710532288952515
DBSCAN,low_data,0,2,0.003,8,-0.034403755879143114,0.25154391681639965,0.21714016093725652
DBSCAN,low_data,0,2,0.003,9,-0.036542084506138856,0.21933085308922304,0.18278876858308418
DBSCAN,low_data,0,2,0.003,10,-0.038115647231708884,0.1862602933730782,0.14814464614136932
DBSCAN,low_data,0,2,0.003,11,-0.03279416859214258,0.14288835630261537,0.1100941877104728
DBSCAN,low_data,0,2,0.003,12,-0.023396104230497764,0.10207101775966833,0.07867491352917057
DBSCAN,low_data,0,2,0.003,13,-0.020292929154211634,0.0878368691743334,0.06754394002012178
DBSCAN,low_data,0,2,0.003,14,-0.014476452217919461,0.06211802160781623,0.04764156938989677
DBSCAN,low_data,0,2,0.003,15,-0.01089112615408161,0.04773859244364043,0.036847466289558824
DBSCAN,low_data,0,2,0.003,16,-0.005423189829393868,0.02460484135442213,0.01918165152502826
DBSCAN,low_data,0,2,0.003,17,-0.0043369913430458,0.01964725193060695,0.01531026058756115
DBSCAN,low_data,0,2,0.003,18,-0.002380611335056023,0.011332803363509347,0.008952192028453324
DBSCAN,low_data,0,2,0.003,19,-0.002099403647421623,0.009889270168556489,0.007789866521134866
DBSCAN,low_data,0,2,0.003,20,-0.0015156252072992971,0.006995606740111523,0.005479981532812226
DBSCAN,low_data,0,2,0.004,2,0.5369650625201078,0.6070348293789445,1.1439998918990524
DBSCAN,low_data,0,2,0.004,3,0.44257197255371566,0.6030231735955773,1.045595146149293
DBSCAN,low_data,0,2,0.004,4,0.3522596312648357,0.5831066948547101,0.9353663261195458
DBSCAN,low_data,0,2,0.004,5,0.2939140861925356,0.5611035427609178,0.8550176289534535
DBSCAN,low_data,0,2,0.004,6,0.24037222198186076,0.5273989851346761,0.7677712071165368
DBSCAN,low_data,0,2,0.004,7,0.19831759994427747,0.4959704230294179,0.6942880229736954
DBSCAN,low_data,0,2,0.004,8,0.12068957886735088,0.4499854949315233,0.5706750737988742
DBSCAN,low_data,0,2,0.004,9,0.05495764066665429,0.39273863161338096,0.4476962722800353
DBSCAN,low_data,0,2,0.004,10,0.03215350016732885,0.35962022247479625,0.39177372264212507
DBSCAN,low_data,0,2,0.004,11,-0.010503054006797206,0.31700078205103094,0.30649772804423375
DBSCAN,low_data,0,2,0.004,12,-0.018613874171836856,0.29636229613192416,0.2777484219600873
DBSCAN,low_data,0,2,0.004,13,-0.025258162181390438,0.2766833242765,0.25142516209510957
DBSCAN,low_data,0,2,0.004,14,-0.031903461370882215,0.25369066437348387,0.22178720300260166
DBSCAN,low_data,0,2,0.004,15,-0.03574141311850337,0.22085275425967932,0.18511134114117594
DBSCAN,low_data,0,2,0.004,16,-0.03499836060302143,0.19852287673392283,0.1635245161309014
DBSCAN,low_data,0,2,0.004,17,-0.033806008863517964,0.1624002506351132,0.12859424177159523
DBSCAN,low_data,0,2,0.004,18,-0.02979769616484757,0.13911217283861568,0.10931447667376812
DBSCAN,low_data,0,2,0.004,19,-0.023348639821218813,0.11072780383700807,0.08737916401578927
DBSCAN,low_data,0,2,0.004,20,-0.01925803974518895,0.08900690145473338,0.06974886170954442
DBSCAN,low_data,0,2,0.005,2,0.7032476873072878,0.6686140319496895,1.3718617192569773
DBSCAN,low_data,0,2,0.005,3,0.6200798479386036,0.6712564474727508,1.2913362954113543
DBSCAN,low_data,0,2,0.005,4,0.5327666529897481,0.6594896780818006,1.1922563310715488
DBSCAN,low_data,0,2,0.005,5,0.4637389318512242,0.642913742359741,1.1066526742109652
DBSCAN,low_data,0,2,0.005,6,0.37439093157347675,0.6147308097226178,0.9891217412960946
DBSCAN,low_data,0,2,0.005,7,0.33250331104064684,0.5953634399800103,0.9278667510206571
DBSCAN,low_data,0,2,0.005,8,0.29712728277044553,0.5763662962492084,0.873493579019654
DBSCAN,low_data,0,2,0.005,9,0.25211085251473675,0.5423069044085645,0.7944177569233013
DBSCAN,low_data,0,2,0.005,10,0.2246795709198815,0.5183739213927452,0.7430534923126266
DBSCAN,low_data,0,2,0.005,11,0.20308952488987128,0.4973990561842347,0.7004885810741059
DBSCAN,low_data,0,2,0.005,12,0.14583629109866542,0.4614904910864587,0.607326782185124
DBSCAN,low_data,0,2,0.005,13,0.1228259605326243,0.4364552952903609,0.5592812558229853
DBSCAN,low_data,0,2,0.005,14,0.06896310013140829,0.409380060928681,0.4783431610600893
DBSCAN,low_data,0,2,0.005,15,0.03117623245361855,0.3730107591527837,0.40418699160640226
DBSCAN,low_data,0,2,0.005,16,0.018465738727665843,0.34654958218192383,0.36501532090958966
DBSCAN,low_data,0,2,0.005,17,-0.005008841792818117,0.32036764068398077,0.31535879889116264
DBSCAN,low_data,0,2,0.005,18,-0.01050015902895351,0.3058149439592481,0.29531478493029456
DBSCAN,low_data,0,2,0.005,19,-0.014039764308729798,0.2939026343519079,0.2798628700431781
DBSCAN,low_data,0,2,0.005,20,-0.023566487050711578,0.27688598001371223,0.25331949296300066
DBSCAN,low_data,0,2,0.006,2,0.7794249861931611,0.7211563493493969,1.5005813355425581
DBSCAN,low_data,0,2,0.006,3,0.7248340313882191,0.7259702533246549,1.450804284712874
DBSCAN,low_data,0,2,0.006,4,0.653337876326612,0.7187254274367247,1.3720633037633367
DBSCAN,low_data,0,2,0.006,5,0.564691211407471,0.6952005474568301,1.2598917588643013
DBSCAN,low_data,0,2,0.006,6,0.5144358521796867,0.6762789430902213,1.190714795269908
DBSCAN,low_data,0,2,0.006,7,0.4717485344276669,0.6635634203921829,1.1353119548198498
DBSCAN,low_data,0,2,0.006,8,0.3976232393821644,0.6385498087718261,1.0361730481539904
