name,prefix,seed,dim,cluster_loss_weight,dip_merge_threshold,embedding_size,n_clusters_init,max_n_clusters,ari,nmi,sum
DipDECK,low_data,2,2,1,0.75,2,2,10,0.19710379537826514,0.3757613720848254,0.5728651674630906
DipDECK,low_data,2,2,1,0.75,2,2,15,0.19710379537826514,0.3757613720848254,0.5728651674630906
DipDECK,low_data,2,2,1,0.75,2,2,20,0.19710379537826514,0.3757613720848254,0.5728651674630906
DipDECK,low_data,2,2,1,0.75,2,2,25,0.19710379537826514,0.3757613720848254,0.5728651674630906
DipDECK,low_data,2,2,1,0.75,2,2,30,0.19710379537826514,0.3757613720848254,0.5728651674630906
DipDECK,low_data,2,2,1,0.75,2,2,35,0.19710379537826514,0.3757613720848254,0.5728651674630906
DipDECK,low_data,2,2,1,0.75,2,5,10,0.4641351630701989,0.5977787239557465,1.0619138870259455
DipDECK,low_data,2,2,1,0.75,2,5,15,0.4641351630701989,0.5977787239557465,1.0619138870259455
DipDECK,low_data,2,2,1,0.75,2,5,20,0.4641351630701989,0.5977787239557465,1.0619138870259455
DipDECK,low_data,2,2,1,0.75,2,5,25,0.4641351630701989,0.5977787239557465,1.0619138870259455
DipDECK,low_data,2,2,1,0.75,2,5,30,0.4641351630701989,0.5977787239557465,1.0619138870259455
DipDECK,low_data,2,2,1,0.75,2,5,35,0.4641351630701989,0.5977787239557465,1.0619138870259455
DipDECK,low_data,2,2,1,0.75,2,7,10,0.5767137994565423,0.685277832599719,1.2619916320562612
DipDECK,low_data,2,2,1,0.75,2,7,15,0.5767137994565423,0.685277832599719,1.2619916320562612
DipDECK,low_data,2,2,1,0.75,2,7,20,0.5767137994565423,0.685277832599719,1.2619916320562612
DipDECK,low_data,2,2,1,0.75,2,7,25,0.5767137994565423,0.685277832599719,1.2619916320562612
DipDECK,low_data,2,2,1,0.75,2,7,30,0.5767137994565423,0.685277832599719,1.2619916320562612
DipDECK,low_data,2,2,1,0.75,2,7,35,0.5767137994565423,0.685277832599719,1.2619916320562612
DipDECK,low_data,2,2,1,0.75,2,10,15,0.7232699208088155,0.7426498383400918,1.4659197591489073
DipDECK,low_data,2,2,1,0.75,2,10,20,0.7232699208088155,0.7426498383400918,1.4659197591489073
DipDECK,low_data,2,2,1,0.75,2,10,25,0.7232699208088155,0.7426498383400918,1.4659197591489073
DipDECK,low_data,2,2,1,0.75,2,10,30,0.7232699208088155,0.7426498383400918,1.4659197591489073
DipDECK,low_data,2,2,1,0.75,2,10,35,0.7232699208088155,0.7426498383400918,1.4659197591489073
DipDECK,low_data,2,2,1,0.75,2,15,20,0.6743798505494802,0.7327677310235786,1.4071475815730587
DipDECK,low_data,2,2,1,0.75,2,15,25,0.6743798505494802,0.7327677310235786,1.4071475815730587
DipDECK,low_data,2,2,1,0.75,2,15,30,0.6743798505494802,0.7327677310235786,1.4071475815730587
DipDECK,low_data,2,2,1,0.75,2,15,35,0.6743798505494802,0.7327677310235786,1.4071475815730587
DipDECK,low_data,2,2,1,0.8,2,2,10,0.19710379537826514,0.3757613720848254,0.5728651674630906
DipDECK,low_data,2,2,1,0.8,2,2,15,0.19710379537826514,0.3757613720848254,0.5728651674630906
DipDECK,low_data,2,2,1,0.8,2,2,20,0.19710379537826514,0.3757613720848254,0.5728651674630906
DipDECK,low_data,2,2,1,0.8,2,2,25,0.19710379537826514,0.3757613720848254,0.5728651674630906
DipDECK,low_data,2,2,1,0.8,2,2,30,0.19710379537826514,0.3757613720848254,0.5728651674630906
DipDECK,low_data,2,2,1,0.8,2,2,35,0.19710379537826514,0.3757613720848254,0.5728651674630906
DipDECK,low_data,2,2,1,0.8,2,5,10,0.4641351630701989,0.5977787239557465,1.0619138870259455
DipDECK,low_data,2,2,1,0.8,2,5,15,0.4641351630701989,0.5977787239557465,1.0619138870259455
DipDECK,low_data,2,2,1,0.8,2,5,20,0.4641351630701989,0.5977787239557465,1.0619138870259455
DipDECK,low_data,2,2,1,0.8,2,5,25,0.4641351630701989,0.5977787239557465,1.0619138870259455
DipDECK,low_data,2,2,1,0.8,2,5,30,0.4641351630701989,0.5977787239557465,1.0619138870259455
DipDECK,low_data,2,2,1,0.8,2,5,35,0.4641351630701989,0.5977787239557465,1.0619138870259455
DipDECK,low_data,2,2,1,0.8,2,7,10,0.5767137994565423,0.685277832599719,1.2619916320562612
DipDECK,low_data,2,2,1,0.8,2,7,15,0.5767137994565423,0.685277832599719,1.2619916320562612
DipDECK,low_data,2,2,1,0.8,2,7,20,0.5767137994565423,0.685277832599719,1.2619916320562612
DipDECK,low_data,2,2,1,0.8,2,7,25,0.5767137994565423,0.685277832599719,1.2619916320562612
DipDECK,low_data,2,2,1,0.8,2,7,30,0.5767137994565423,0.685277832599719,1.2619916320562612
DipDECK,low_data,2,2,1,0.8,2,7,35,0.5767137994565423,0.685277832599719,1.2619916320562612
DipDECK,low_data,2,2,1,0.8,2,10,15,0.7232699208088155,0.7426498383400918,1.4659197591489073
DipDECK,low_data,2,2,1,0.8,2,10,20,0.7232699208088155,0.7426498383400918,1.4659197591489073
DipDECK,low_data,2,2,1,0.8,2,10,25,0.7232699208088155,0.7426498383400918,1.4659197591489073
DipDECK,low_data,2,2,1,0.8,2,10,30,0.7232699208088155,0.7426498383400918,1.4659197591489073
DipDECK,low_data,2,2,1,0.8,2,10,35,0.7232699208088155,0.7426498383400918,1.4659197591489073
DipDECK,low_data,2,2,1,0.8,2,15,20,0.6743798505494802,0.7327677310235786,1.4071475815730587
DipDECK,low_data,2,2,1,0.8,2,15,25,0.6743798505494802,0.7327677310235786,1.4071475815730587
DipDECK,low_data,2,2,1,0.8,2,15,30,0.6743798505494802,0.7327677310235786,1.4071475815730587
DipDECK,low_data,2,2,1,0.8,2,15,35,0.6743798505494802,0.7327677310235786,1.4071475815730587
DipDECK,low_data,2,2,1,0.85,2,2,10,0.19710379537826514,0.3757613720848254,0.5728651674630906
DipDECK,low_data,2,2,1,0.85,2,2,15,0.19710379537826514,0.3757613720848254,0.5728651674630906
DipDECK,low_data,2,2,1,0.85,2,2,20,0.19710379537826514,0.3757613720848254,0.5728651674630906
DipDECK,low_data,2,2,1,0.85,2,2,25,0.19710379537826514,0.3757613720848254,0.5728651674630906
DipDECK,low_data,2,2,1,0.85,2,2,30,0.19710379537826514,0.3757613720848254,0.5728651674630906
DipDECK,low_data,2,2,1,0.85,2,2,35,0.19710379537826514,0.3757613720848254,0.5728651674630906
DipDECK,low_data,2,2,1,0.85,2,5,10,0.4641351630701989,0.5977787239557465,1.0619138870259455
DipDECK,low_data,2,2,1,0.85,2,5,15,0.4641351630701989,0.5977787239557465,1.0619138870259455
DipDECK,low_data,2,2,1,0.85,2,5,20,0.4641351630701989,0.5977787239557465,1.0619138870259455
DipDECK,low_data,2,2,1,0.85,2,5,25,0.4641351630701989,0.5977787239557465,1.0619138870259455
DipDECK,low_data,2,2,1,0.85,2,5,30,0.4641351630701989,0.5977787239557465,1.0619138870259455
DipDECK,low_data,2,2,1,0.85,2,5,35,0.4641351630701989,0.5977787239557465,1.0619138870259455
DipDECK,low_data,2,2,1,0.85,2,7,10,0.5767137994565423,0.685277832599719,1.2619916320562612
DipDECK,low_data,2,2,1,0.85,2,7,15,0.5767137994565423,0.685277832599719,1.2619916320562612
DipDECK,low_data,2,2,1,0.85,2,7,20,0.5767137994565423,0.685277832599719,1.2619916320562612
DipDECK,low_data,2,2,1,0.85,2,7,25,0.5767137994565423,0.685277832599719,1.2619916320562612
DipDECK,low_data,2,2,1,0.85,2,7,30,0.5767137994565423,0.685277832599719,1.2619916320562612
DipDECK,low_data,2,2,1,0.85,2,7,35,0.5767137994565423,0.685277832599719,1.2619916320562612
DipDECK,low_data,2,2,1,0.85,2,10,15,0.7559441035547035,0.7696954222611815,1.525639525815885
DipDECK,low_data,2,2,1,0.85,2,10,20,0.7559441035547035,0.7696954222611815,1.525639525815885
DipDECK,low_data,2,2,1,0.85,2,10,25,0.7559441035547035,0.7696954222611815,1.525639525815885
DipDECK,low_data,2,2,1,0.85,2,10,30,0.7559441035547035,0.7696954222611815,1.525639525815885
DipDECK,low_data,2,2,1,0.85,2,10,35,0.7559441035547035,0.7696954222611815,1.525639525815885
DipDECK,low_data,2,2,1,0.85,2,15,20,0.6743798505494802,0.7327677310235786,1.4071475815730587
DipDECK,low_data,2,2,1,0.85,2,15,25,0.6743798505494802,0.7327677310235786,1.4071475815730587
DipDECK,low_data,2,2,1,0.85,2,15,30,0.6743798505494802,0.7327677310235786,1.4071475815730587
DipDECK,low_data,2,2,1,0.85,2,15,35,0.6743798505494802,0.7327677310235786,1.4071475815730587
DipDECK,low_data,2,2,1,0.9,2,2,10,0.19710379537826514,0.3757613720848254,0.5728651674630906
DipDECK,low_data,2,2,1,0.9,2,2,15,0.19710379537826514,0.3757613720848254,0.5728651674630906
DipDECK,low_data,2,2,1,0.9,2,2,20,0.19710379537826514,0.3757613720848254,0.5728651674630906
DipDECK,low_data,2,2,1,0.9,2,2,25,0.19710379537826514,0.3757613720848254,0.5728651674630906
DipDECK,low_data,2,2,1,0.9,2,2,30,0.19710379537826514,0.3757613720848254,0.5728651674630906
DipDECK,low_data,2,2,1,0.9,2,2,35,0.19710379537826514,0.3757613720848254,0.5728651674630906
DipDECK,low_data,2,2,1,0.9,2,5,10,0.4641351630701989,0.5977787239557465,1.0619138870259455
DipDECK,low_data,2,2,1,0.9,2,5,15,0.4641351630701989,0.5977787239557465,1.0619138870259455
DipDECK,low_data,2,2,1,0.9,2,5,20,0.4641351630701989,0.5977787239557465,1.0619138870259455
DipDECK,low_data,2,2,1,0.9,2,5,25,0.4641351630701989,0.5977787239557465,1.0619138870259455
DipDECK,low_data,2,2,1,0.9,2,5,30,0.4641351630701989,0.5977787239557465,1.0619138870259455
DipDECK,low_data,2,2,1,0.9,2,5,35,0.4641351630701989,0.5977787239557465,1.0619138870259455
DipDECK,low_data,2,2,1,0.9,2,7,10,0.5767137994565423,0.685277832599719,1.2619916320562612
DipDECK,low_data,2,2,1,0.9,2,7,15,0.5767137994565423,0.685277832599719,1.2619916320562612
DipDECK,low_data,2,2,1,0.9,2,7,20,0.5767137994565423,0.685277832599719,1.2619916320562612
DipDECK,low_data,2,2,1,0.9,2,7,25,0.5767137994565423,0.685277832599719,1.2619916320562612
DipDECK,low_data,2,2,1,0.9,2,7,30,0.5767137994565423,0.685277832599719,1.2619916320562612
DipDECK,low_data,2,2,1,0.9,2,7,35,0.5767137994565423,0.685277832599719,1.2619916320562612
DipDECK,low_data,2,2,1,0.9,2,10,15,0.7563640111942216,0.7705747287214775,1.526938739915699
DipDECK,low_data,2,2,1,0.9,2,10,20,0.7563640111942216,0.7705747287214775,1.526938739915699
DipDECK,low_data,2,2,1,0.9,2,10,25,0.7563640111942216,0.7705747287214775,1.526938739915699
DipDECK,low_data,2,2,1,0.9,2,10,30,0.7563640111942216,0.7705747287214775,1.526938739915699
DipDECK,low_data,2,2,1,0.9,2,10,35,0.7563640111942216,0.7705747287214775,1.526938739915699
DipDECK,low_data,2,2,1,0.9,2,15,20,0.6467739953123787,0.7191554420242883,1.3659294373366668
DipDECK,low_data,2,2,1,0.9,2,15,25,0.6467739953123787,0.7191554420242883,1.3659294373366668
DipDECK,low_data,2,2,1,0.9,2,15,30,0.6467739953123787,0.7191554420242883,1.3659294373366668
DipDECK,low_data,2,2,1,0.9,2,15,35,0.6467739953123787,0.7191554420242883,1.3659294373366668
DipDECK,low_data,2,2,1,0.95,2,2,10,0.19710379537826514,0.3757613720848254,0.5728651674630906
DipDECK,low_data,2,2,1,0.95,2,2,15,0.19710379537826514,0.3757613720848254,0.5728651674630906
DipDECK,low_data,2,2,1,0.95,2,2,20,0.19710379537826514,0.3757613720848254,0.5728651674630906
DipDECK,low_data,2,2,1,0.95,2,2,25,0.19710379537826514,0.3757613720848254,0.5728651674630906
DipDECK,low_data,2,2,1,0.95,2,2,30,0.19710379537826514,0.3757613720848254,0.5728651674630906
DipDECK,low_data,2,2,1,0.95,2,2,35,0.19710379537826514,0.3757613720848254,0.5728651674630906
DipDECK,low_data,2,2,1,0.95,2,5,10,0.4641351630701989,0.5977787239557465,1.0619138870259455
DipDECK,low_data,2,2,1,0.95,2,5,15,0.4641351630701989,0.5977787239557465,1.0619138870259455
DipDECK,low_data,2,2,1,0.95,2,5,20,0.4641351630701989,0.5977787239557465,1.0619138870259455
DipDECK,low_data,2,2,1,0.95,2,5,25,0.4641351630701989,0.5977787239557465,1.0619138870259455
DipDECK,low_data,2,2,1,0.95,2,5,30,0.4641351630701989,0.5977787239557465,1.0619138870259455
DipDECK,low_data,2,2,1,0.95,2,5,35,0.4641351630701989,0.5977787239557465,1.0619138870259455
DipDECK,low_data,2,2,1,0.95,2,7,10,0.5778967212326076,0.6837712557877184,1.261667977020326
DipDECK,low_data,2,2,1,0.95,2,7,15,0.5778967212326076,0.6837712557877184,1.261667977020326
DipDECK,low_data,2,2,1,0.95,2,7,20,0.5778967212326076,0.6837712557877184,1.261667977020326
DipDECK,low_data,2,2,1,0.95,2,7,25,0.5778967212326076,0.6837712557877184,1.261667977020326
DipDECK,low_data,2,2,1,0.95,2,7,30,0.5778967212326076,0.6837712557877184,1.261667977020326
DipDECK,low_data,2,2,1,0.95,2,7,35,0.5778967212326076,0.6837712557877184,1.261667977020326
DipDECK,low_data,2,2,1,0.95,2,10,15,0.7682195467177062,0.7723347631937558,1.540554309911462
DipDECK,low_data,2,2,1,0.95,2,10,20,0.7682195467177062,0.7723347631937558,1.540554309911462
DipDECK,low_data,2,2,1,0.95,2,10,25,0.7682195467177062,0.7723347631937558,1.540554309911462
DipDECK,low_data,2,2,1,0.95,2,10,30,0.7682195467177062,0.7723347631937558,1.540554309911462
DipDECK,low_data,2,2,1,0.95,2,10,35,0.7682195467177062,0.7723347631937558,1.540554309911462
DipDECK,low_data,2,2,1,0.95,2,15,20,0.6767303555084376,0.7243427901655637,1.4010731456740013
DipDECK,low_data,2,2,1,0.95,2,15,25,0.6767303555084376,0.7243427901655637,1.4010731456740013
DipDECK,low_data,2,2,1,0.95,2,15,30,0.6767303555084376,0.7243427901655637,1.4010731456740013
DipDECK,low_data,2,2,1,0.95,2,15,35,0.6767303555084376,0.7243427901655637,1.4010731456740013
DipDECK,low_data,2,2,0.1,0.75,2,2,10,0.20287434926722056,0.38245384491255074,0.5853281941797713
DipDECK,low_data,2,2,0.1,0.75,2,2,15,0.20287434926722056,0.38245384491255074,0.5853281941797713
DipDECK,low_data,2,2,0.1,0.75,2,2,20,0.20287434926722056,0.38245384491255074,0.5853281941797713
DipDECK,low_data,2,2,0.1,0.75,2,2,25,0.20287434926722056,0.38245384491255074,0.5853281941797713
DipDECK,low_data,2,2,0.1,0.75,2,2,30,0.20287434926722056,0.38245384491255074,0.5853281941797713
DipDECK,low_data,2,2,0.1,0.75,2,2,35,0.20287434926722056,0.38245384491255074,0.5853281941797713
DipDECK,low_data,2,2,0.1,0.75,2,5,10,0.5504910961932431,0.6859008398767173,1.2363919360699605
DipDECK,low_data,2,2,0.1,0.75,2,5,15,0.5504910961932431,0.6859008398767173,1.2363919360699605
DipDECK,low_data,2,2,0.1,0.75,2,5,20,0.5504910961932431,0.6859008398767173,1.2363919360699605
DipDECK,low_data,2,2,0.1,0.75,2,5,25,0.5504910961932431,0.6859008398767173,1.2363919360699605
DipDECK,low_data,2,2,0.1,0.75,2,5,30,0.5504910961932431,0.6859008398767173,1.2363919360699605
DipDECK,low_data,2,2,0.1,0.75,2,5,35,0.5504910961932431,0.6859008398767173,1.2363919360699605
DipDECK,low_data,2,2,0.1,0.75,2,7,10,0.5778538505864987,0.6858994281535745,1.2637532787400731
DipDECK,low_data,2,2,0.1,0.75,2,7,15,0.5778538505864987,0.6858994281535745,1.2637532787400731
DipDECK,low_data,2,2,0.1,0.75,2,7,20,0.5778538505864987,0.6858994281535745,1.2637532787400731
DipDECK,low_data,2,2,0.1,0.75,2,7,25,0.5778538505864987,0.6858994281535745,1.2637532787400731
DipDECK,low_data,2,2,0.1,0.75,2,7,30,0.5778538505864987,0.6858994281535745,1.2637532787400731
DipDECK,low_data,2,2,0.1,0.75,2,7,35,0.5778538505864987,0.6858994281535745,1.2637532787400731
DipDECK,low_data,2,2,0.1,0.75,2,10,15,0.7108550758156837,0.734595519895483,1.4454505957111667
DipDECK,low_data,2,2,0.1,0.75,2,10,20,0.7108550758156837,0.734595519895483,1.4454505957111667
DipDECK,low_data,2,2,0.1,0.75,2,10,25,0.7108550758156837,0.734595519895483,1.4454505957111667
DipDECK,low_data,2,2,0.1,0.75,2,10,30,0.7108550758156837,0.734595519895483,1.4454505957111667
DipDECK,low_data,2,2,0.1,0.75,2,10,35,0.7108550758156837,0.734595519895483,1.4454505957111667
DipDECK,low_data,2,2,0.1,0.75,2,15,20,0.6641836637945746,0.7351585398551171,1.3993422036496916
DipDECK,low_data,2,2,0.1,0.75,2,15,25,0.6641836637945746,0.7351585398551171,1.3993422036496916
DipDECK,low_data,2,2,0.1,0.75,2,15,30,0.6641836637945746,0.7351585398551171,1.3993422036496916
DipDECK,low_data,2,2,0.1,0.75,2,15,35,0.6641836637945746,0.7351585398551171,1.3993422036496916
DipDECK,low_data,2,2,0.1,0.8,2,2,10,0.20287434926722056,0.38245384491255074,0.5853281941797713
