name,prefix,seed,dim,significance,n_clusters_init,max_n_clusters,split_viewers_threshold,ari,nmi,sum
DipMeans,low_data,8,2,0.001,2,10,0.01,0.769206835683905,0.7842060409530861,1.5534128766369912
DipMeans,low_data,8,2,0.001,2,12,0.01,0.8018120013208736,0.8007222798659027,1.6025342811867764
DipMeans,low_data,8,2,0.001,2,15,0.01,0.788053955480301,0.8137023758702229,1.6017563313505239
DipMeans,low_data,8,2,0.001,2,20,0.01,0.7093001776473028,0.8013295582205324,1.5106297358678353
DipMeans,low_data,8,2,0.001,2,25,0.01,0.5519382001140066,0.7677947368354424,1.319732936949449
DipMeans,low_data,8,2,0.001,2,30,0.01,0.5519382001140066,0.7677947368354424,1.319732936949449
DipMeans,low_data,8,2,0.001,5,10,0.01,0.7617580114744692,0.7728515092490154,1.5346095207234844
DipMeans,low_data,8,2,0.001,5,12,0.01,0.8285379290644815,0.8119765063243314,1.640514435388813
DipMeans,low_data,8,2,0.001,5,15,0.01,0.7994216939775253,0.8171835698563377,1.616605263833863
DipMeans,low_data,8,2,0.001,5,20,0.01,0.7068847475176595,0.7977580333065705,1.50464278082423
DipMeans,low_data,8,2,0.001,5,25,0.01,0.5467583849008557,0.7625050932385382,1.309263478139394
DipMeans,low_data,8,2,0.001,5,30,0.01,0.5467583849008557,0.7625050932385382,1.309263478139394
DipMeans,low_data,8,2,0.001,7,10,0.01,0.8031859044055586,0.8037565614818025,1.6069424658873612
DipMeans,low_data,8,2,0.001,7,12,0.01,0.8509598190249253,0.8422222610663187,1.693182080091244
DipMeans,low_data,8,2,0.001,7,15,0.01,0.788053955480301,0.813702375870223,1.6017563313505239
DipMeans,low_data,8,2,0.001,7,20,0.01,0.7094280495055413,0.8013119594976525,1.510740009003194
DipMeans,low_data,8,2,0.001,7,25,0.01,0.5619794357917051,0.7691076038816909,1.3310870396733958
DipMeans,low_data,8,2,0.001,7,30,0.01,0.5619794357917051,0.769107603881691,1.331087039673396
DipMeans,low_data,8,2,0.001,10,12,0.01,0.8509598190249253,0.8422222610663187,1.693182080091244
DipMeans,low_data,8,2,0.001,10,15,0.01,0.7994216939775253,0.8171835698563376,1.6166052638338628
DipMeans,low_data,8,2,0.001,10,20,0.01,0.7066691155522651,0.7977183238496396,1.5043874394019046
DipMeans,low_data,8,2,0.001,10,25,0.01,0.5474374535118205,0.7629274537300419,1.3103649072418624
DipMeans,low_data,8,2,0.001,10,30,0.01,0.5474374535118205,0.7629274537300419,1.3103649072418624
DipMeans,low_data,8,2,0.001,12,15,0.01,0.7885689726496293,0.8133222102245907,1.60189118287422
DipMeans,low_data,8,2,0.001,12,20,0.01,0.7146244606993646,0.8013655731387707,1.5159900338381354
DipMeans,low_data,8,2,0.001,12,25,0.01,0.5501523466435541,0.7675524060830885,1.3177047527266426
DipMeans,low_data,8,2,0.001,12,30,0.01,0.5501523466435541,0.7675524060830885,1.3177047527266426
DipMeans,low_data,8,2,0.001,15,20,0.01,0.6875580817535398,0.7847815670275007,1.4723396487810405
DipMeans,low_data,8,2,0.001,15,25,0.01,0.5473713119207831,0.7622651159251104,1.3096364278458936
DipMeans,low_data,8,2,0.001,15,30,0.01,0.5473713119207831,0.7622651159251104,1.3096364278458936
DipMeans,low_data,8,2,0.001,2,10,0.02,0.769206835683905,0.7842060409530861,1.5534128766369912
DipMeans,low_data,8,2,0.001,2,12,0.02,0.8018120013208736,0.8007222798659027,1.6025342811867764
DipMeans,low_data,8,2,0.001,2,15,0.02,0.788053955480301,0.8137023758702229,1.6017563313505239
DipMeans,low_data,8,2,0.001,2,20,0.02,0.7093001776473028,0.8013295582205324,1.5106297358678353
DipMeans,low_data,8,2,0.001,2,25,0.02,0.6885136059333705,0.7915424286914547,1.4800560346248253
DipMeans,low_data,8,2,0.001,2,30,0.02,0.6885136059333705,0.7915424286914547,1.4800560346248253
DipMeans,low_data,8,2,0.001,5,10,0.02,0.7617580114744692,0.7728515092490154,1.5346095207234844
DipMeans,low_data,8,2,0.001,5,12,0.02,0.8285379290644815,0.8119765063243314,1.640514435388813
DipMeans,low_data,8,2,0.001,5,15,0.02,0.7994216939775253,0.8171835698563377,1.616605263833863
DipMeans,low_data,8,2,0.001,5,20,0.02,0.7155455322998715,0.7963349616251076,1.5118804939249793
DipMeans,low_data,8,2,0.001,5,25,0.02,0.7155455322998715,0.7963349616251076,1.5118804939249793
