name,prefix,seed,dim,min_cluster_size,ari,nmi,sum
HDBSCAN,low_data,0,2,2,0.007149131576083506,0.42656393873819326,0.43371307031427675
HDBSCAN,low_data,0,2,3,0.8710852322655439,0.8236030694634444,1.6946883017289882
HDBSCAN,low_data,0,2,4,0.9133436734159139,0.8858003702331921,1.7991440436491062
HDBSCAN,low_data,0,2,5,0.9236402104094887,0.904761920631304,1.8284021310407927
HDBSCAN,low_data,0,2,6,0.9154049105533948,0.8995207598031736,1.8149256703565684
HDBSCAN,low_data,0,2,7,0.9487600841262446,0.9327402730385865,1.881500357164831
HDBSCAN,low_data,0,2,8,0.9518970067100776,0.9399276700276844,1.891824676737762
HDBSCAN,low_data,0,2,9,0.9247556891240545,0.9178186413486611,1.8425743304727156
HDBSCAN,low_data,0,2,10,0.9489434529978691,0.9388713306529904,1.8878147836508594
HDBSCAN,low_data,0,2,11,0.9445585502989666,0.9346926721337556,1.8792512224327222
HDBSCAN,low_data,0,2,12,0.9508227797915274,0.9442161479644214,1.895038927755949
HDBSCAN,low_data,0,2,13,0.9501187478900616,0.9439717142877616,1.8940904621778232
HDBSCAN,low_data,0,2,14,0.9176412932010672,0.9180919925226564,1.8357332857237236
HDBSCAN,low_data,0,2,15,0.9134659335553107,0.9112125176159739,1.8246784511712846
HDBSCAN,low_data,0,2,16,0.9167817713811531,0.916756523007839,1.8335382943889922
HDBSCAN,low_data,0,2,17,0.8851616894158778,0.8935356879933785,1.7786973774092563
HDBSCAN,low_data,0,2,18,0.8853313541495558,0.892720325122338,1.778051679271894
HDBSCAN,low_data,0,2,19,0.8797475030798798,0.8885672910678128,1.7683147941476927
HDBSCAN,low_data,0,2,20,0.9286364242529702,0.9230370113668787,1.851673435619849
HDBSCAN,low_data,0,2,21,0.9233352498610956,0.9203395507857745,1.8436748006468702
HDBSCAN,low_data,0,2,22,0.9219636476328669,0.9193383007085966,1.8413019483414634
HDBSCAN,low_data,0,2,23,0.8853001219449321,0.8943793304485254,1.7796794523934576
HDBSCAN,low_data,0,2,24,0.8763132474200911,0.887378233428321,1.763691480848412
HDBSCAN,low_data,0,2,25,0.899063980274579,0.904023148565265,1.803087128839844
HDBSCAN,low_data,0,2,26,0.8108436944016401,0.8489690165613105,1.6598127109629506
HDBSCAN,low_data,0,2,27,0.8556925077986626,0.8756694206510002,1.7313619284496626
HDBSCAN,low_data,0,2,28,0.8552984403669425,0.8743348999424521,1.7296333403093946
HDBSCAN,low_data,0,2,29,0.8576995246050947,0.8755818315966966,1.7332813562017912
HDBSCAN,low_data,0,2,30,0.8763879726895791,0.8856847246369659,1.762072697326545
HDBSCAN,low_data,0,5,2,0.9321105421506171,0.8968903818511886,1.8290009240018057
HDBSCAN,low_data,0,5,3,0.9446155253409793,0.9311420114570601,1.8757575367980395
HDBSCAN,low_data,0,5,4,0.9546933871660833,0.9488976257597287,1.903591012925812
HDBSCAN,low_data,0,5,5,0.9004155512201493,0.9250156509452134,1.8254312021653627
HDBSCAN,low_data,0,5,6,0.9246167660927147,0.9459574831845101,1.8705742492772248
HDBSCAN,low_data,0,5,7,0.9384803570449822,0.9630394901779876,1.90151984722297
