name,prefix,seed,dim,n_clusters ,cluster_loss_weight,alpha,embedding_size,ari,nmi,sum
IDEC,low_data,1,2,10,1,0.1,2,0.5161610263136169,0.661704693881755,1.177865720195372
IDEC,low_data,1,2,10,1,0.2,2,0.6212616521229016,0.6938179901339332,1.3150796422568347
IDEC,low_data,1,2,10,1,0.3,2,0.5191752259931548,0.6620019361301707,1.1811771621233254
IDEC,low_data,1,2,10,1,0.4,2,0.5148049920597922,0.657205225252149,1.172010217311941
IDEC,low_data,1,2,10,1,0.5,2,0.6674139561652799,0.7085858910936108,1.3759998472588908
IDEC,low_data,1,2,10,1,0.6,2,0.6135074747323427,0.6896339664040743,1.3031414411364168
IDEC,low_data,1,2,10,1,0.7,2,0.6332713799490681,0.6962866227688816,1.3295580027179499
IDEC,low_data,1,2,10,1,0.8,2,0.6238156412544518,0.6955648617888855,1.3193805030433374
IDEC,low_data,1,2,10,1,0.9,2,0.659400910623594,0.7144196566395133,1.3738205672631074
IDEC,low_data,1,2,10,1,1,2,0.6145752890482662,0.6923891594150373,1.3069644484633036
IDEC,low_data,1,2,10,0.1,0.1,2,0.528724398573642,0.6768253639363353,1.2055497625099774
IDEC,low_data,1,2,10,0.1,0.2,2,0.6308059547368147,0.7055516222368043,1.3363575769736191
IDEC,low_data,1,2,10,0.1,0.3,2,0.6493421594788992,0.7176563593011198,1.366998518780019
IDEC,low_data,1,2,10,0.1,0.4,2,0.6558254604572008,0.7209526852672318,1.3767781457244326
IDEC,low_data,1,2,10,0.1,0.5,2,0.7056947815304506,0.7385496095646009,1.4442443910950515
IDEC,low_data,1,2,10,0.1,0.6,2,0.6434299762436131,0.7129206480942907,1.3563506243379038
IDEC,low_data,1,2,10,0.1,0.7,2,0.6316774849524629,0.7062063109351757,1.3378837958876386
IDEC,low_data,1,2,10,0.1,0.8,2,0.6828856876805464,0.7246706828404378,1.4075563705209841
IDEC,low_data,1,2,10,0.1,0.9,2,0.6455763253719431,0.7150476723975203,1.3606239977694634
IDEC,low_data,1,2,10,0.1,1,2,0.6537125434064538,0.7151211490362448,1.3688336924426987
IDEC,low_data,1,2,10,0.01,0.1,2,0.6580088552343152,0.7121129419898798,1.370121797224195
