name,prefix,seed,dim,n_clusters,epsilon,ari,nmi,sum
SpectACl,low_data,5,2,10,0.001,-0.009349961118068472,0.030346910804141723,0.02099694968607325
SpectACl,low_data,5,2,10,0.002,-0.007634390028737703,0.03285061734294229,0.025216227314204587
SpectACl,low_data,5,2,10,0.003,-0.019818676143849506,0.08796753129274096,0.06814885514889145
SpectACl,low_data,5,2,10,0.004,-0.03213185883210303,0.16495079928982456,0.13281894045772152
SpectACl,low_data,5,2,10,0.005,-0.031289831048896856,0.24570627732246658,0.21441644627356973
SpectACl,low_data,5,2,10,0.006,-0.023513370253012342,0.28850670095480063,0.26499333070178827
SpectACl,low_data,5,2,10,0.007,-0.005069263520359461,0.3391221024074196,0.3340528388870601
SpectACl,low_data,5,2,10,0.008,0.006661839372918542,0.35957804859262055,0.3662398879655391
SpectACl,low_data,5,2,10,0.009,0.03049820825781922,0.4100176260025398,0.44051583426035906
SpectACl,low_data,5,2,10,0.01,0.06402894860187751,0.4522401501114761,0.5162690987133536
SpectACl,low_data,5,2,10,0.02,0.26336674348715483,0.6453067646087567,0.9086735080959115
SpectACl,low_data,5,2,10,0.03,0.40616388400821113,0.7395012320337853,1.1456651160419964
SpectACl,low_data,5,2,10,0.04,0.7740661010303602,0.8658484097182639,1.6399145107486242
SpectACl,low_data,5,2,10,0.05,0.8090474728585384,0.8884879816813648,1.6975354545399033
SpectACl,low_data,5,2,10,0.06,0.8287915854776199,0.8861389142817302,1.7149304997593502
SpectACl,low_data,5,2,10,0.07,0.7425061743579239,0.8491795900666848,1.5916857644246085
SpectACl,low_data,5,2,10,0.08,0.922355813650334,0.903962401841643,1.826318215491977
SpectACl,low_data,5,2,10,0.09,0.9098872495204118,0.8884213212408492,1.798308570761261
SpectACl,low_data,5,2,10,0.1,0.8663975633059255,0.8750210483301888,1.7414186116361143
SpectACl,low_data,5,2,10,0.12,0.7786553568466954,0.799313253093962,1.5779686099406574
SpectACl,low_data,5,2,10,0.15,0.7532760268231409,0.7769433984761276,1.5302194252992685
SpectACl,low_data,5,2,10,0.2,0.7823713746735127,0.7684198456619531,1.5507912203354657
SpectACl,low_data,5,2,10,0.25,0.6002514363282133,0.6887945819321588,1.2890460182603722
SpectACl,low_data,5,2,10,0.3,0.46728370217026544,0.5891957890257805,1.056479491196046
SpectACl,low_data,5,2,10,0.4,0.6958747190965081,0.6876621934740011,1.3835369125705093
SpectACl,low_data,5,2,10,0.5,0.7254929247856158,0.738964652947331,1.4644575777329467
SpectACl,low_data,5,5,10,0.001,0.0,0.0,0.0
SpectACl,low_data,5,5,10,0.002,0.0,0.0,0.0
SpectACl,low_data,5,5,10,0.003,0.0005735131083101577,0.0036192831405013537,0.004192796248811512
SpectACl,low_data,5,5,10,0.004,-0.002398796294283408,0.013162421171300278,0.01076362487701687
SpectACl,low_data,5,5,10,0.005,-0.005326648201811712,0.028637716979504572,0.02331106877769286
SpectACl,low_data,5,5,10,0.006,-0.009083930961529391,0.04000694659015706,0.030923015628627665
SpectACl,low_data,5,5,10,0.007,-0.0027617761979397693,0.02434893850245767,0.0215871623045179
SpectACl,low_data,5,5,10,0.008,-0.004630368196958141,0.035287742066016196,0.030657373869058056
SpectACl,low_data,5,5,10,0.009,-0.006148199371668667,0.05366641409174476,0.04751821472007609
SpectACl,low_data,5,5,10,0.01,-0.008941916431715033,0.06856025738040036,0.05961834094868533
SpectACl,low_data,5,5,10,0.02,0.007686362422107418,0.3574354031311928,0.3651217655533002
SpectACl,low_data,5,5,10,0.03,0.09288354027459186,0.49867016564715466,0.5915537059217465
SpectACl,low_data,5,5,10,0.04,0.1930443050531756,0.6086479362361631,0.8016922412893387
SpectACl,low_data,5,5,10,0.05,0.3921146798132705,0.73757200297619,1.1296866827894605
SpectACl,low_data,5,5,10,0.06,0.677481202254347,0.8401418324505382,1.5176230347048851
SpectACl,low_data,5,5,10,0.07,0.7865797734861212,0.8890769162249085,1.6756566897110297
SpectACl,low_data,5,5,10,0.08,0.743457334562064,0.8859359319088431,1.629393266470907
SpectACl,low_data,5,5,10,0.09,0.7553688340050946,0.8734170189827505,1.628785852987845
SpectACl,low_data,5,5,10,0.1,0.8496309390941371,0.9188051771825695,1.7684361162767066
SpectACl,low_data,5,5,10,0.12,0.5277219308255661,0.7576227182482403,1.2853446490738065
SpectACl,low_data,5,5,10,0.15,0.5272250224146872,0.757094066498535,1.284319088913222
SpectACl,low_data,5,5,10,0.2,0.5956679656771172,0.7838090853977216,1.3794770510748389
SpectACl,low_data,5,5,10,0.25,0.8053646473402534,0.8598088684477401,1.6651735157879934
SpectACl,low_data,5,5,10,0.3,0.7438667325489016,0.8158533815787946,1.5597201141276962
SpectACl,low_data,5,5,10,0.4,0.47601059473685137,0.7204035459594657,1.1964141406963171
SpectACl,low_data,5,5,10,0.5,0.5064187673409388,0.68757554501287,1.1939943123538088
SpectACl,low_data,5,10,10,0.001,0.0,0.0,0.0
SpectACl,low_data,5,10,10,0.002,0.0,0.0,0.0
SpectACl,low_data,5,10,10,0.003,0.0,0.0,0.0
