name,prefix,seed,dim,n_clusters,n_init,ari,nmi,sum
kmeans,low_data,2,2,10,1,0.7142342170072982,0.7825310520551554,1.4967652690624536
kmeans,low_data,2,2,10,2,0.7723795208952196,0.7749065466775624,1.547286067572782
kmeans,low_data,2,2,10,3,0.7723795208952196,0.7749065466775624,1.547286067572782
kmeans,low_data,2,2,10,4,0.7511496823270849,0.7700459397825845,1.5211956221096694
kmeans,low_data,2,2,10,5,0.7837636925039599,0.7899202897344851,1.5736839822384452
kmeans,low_data,2,2,10,6,0.7837636925039599,0.7899202897344851,1.5736839822384452
kmeans,low_data,2,2,10,7,0.7837636925039599,0.7899202897344851,1.5736839822384452
kmeans,low_data,2,2,10,8,0.7837636925039599,0.7899202897344851,1.5736839822384452
kmeans,low_data,2,2,10,9,0.7837636925039599,0.7899202897344851,1.5736839822384452
kmeans,low_data,2,2,10,10,0.7837636925039599,0.7899202897344851,1.5736839822384452
kmeans,low_data,2,5,10,1,0.653155978095,0.7624538642647569,1.415609842359757
kmeans,low_data,2,5,10,2,0.7097435659161486,0.7902715108122248,1.5000150767283733
kmeans,low_data,2,5,10,3,0.7097435659161486,0.7902715108122248,1.5000150767283733
kmeans,low_data,2,5,10,4,0.7212593589535803,0.8129917845444171,1.5342511434979973
kmeans,low_data,2,5,10,5,0.7212593589535803,0.8129917845444171,1.5342511434979973
kmeans,low_data,2,5,10,6,0.7212593589535803,0.8129917845444171,1.5342511434979973
kmeans,low_data,2,5,10,7,0.7212593589535803,0.8129917845444171,1.5342511434979973
kmeans,low_data,2,5,10,8,0.7212593589535803,0.8129917845444171,1.5342511434979973
kmeans,low_data,2,5,10,9,0.7212593589535803,0.8129917845444171,1.5342511434979973
kmeans,low_data,2,5,10,10,0.7213576486218695,0.8132133012674571,1.5345709498893265
kmeans,low_data,2,10,10,1,0.7139779712985616,0.7980761259277233,1.5120540972262848
kmeans,low_data,2,10,10,2,0.7139779712985616,0.7980761259277233,1.5120540972262848
kmeans,low_data,2,10,10,3,0.7139779712985616,0.7980761259277233,1.5120540972262848
kmeans,low_data,2,10,10,4,0.7139779712985616,0.7980761259277233,1.5120540972262848
kmeans,low_data,2,10,10,5,0.7139779712985616,0.7980761259277233,1.5120540972262848
kmeans,low_data,2,10,10,6,0.7149798609432175,0.7991161912794416,1.514096052222659
kmeans,low_data,2,10,10,7,0.7149798609432175,0.7991161912794416,1.514096052222659
kmeans,low_data,2,10,10,8,0.7149798609432175,0.7991161912794416,1.514096052222659
kmeans,low_data,2,10,10,9,0.7149798609432175,0.7991161912794416,1.514096052222659
kmeans,low_data,2,10,10,10,0.7149798609432175,0.7991161912794416,1.514096052222659
kmeans,low_data,2,50,10,1,0.7390658681879114,0.8409124329423633,1.5799783011302746
kmeans,low_data,2,50,10,2,0.7389749660052018,0.8404933163498899,1.5794682823550916
kmeans,low_data,2,50,10,3,0.7389749660052018,0.8404933163498899,1.5794682823550916
kmeans,low_data,2,50,10,4,0.7389749660052018,0.8404933163498899,1.5794682823550916
kmeans,low_data,2,50,10,5,0.7389749660052018,0.8404933163498899,1.5794682823550916
kmeans,low_data,2,50,10,6,0.7389749660052018,0.8404933163498899,1.5794682823550916
kmeans,low_data,2,50,10,7,0.7389749660052018,0.8404933163498899,1.5794682823550916
kmeans,low_data,2,50,10,8,0.7389749660052018,0.8404933163498899,1.5794682823550916
kmeans,low_data,2,50,10,9,0.7389749660052018,0.8404933163498899,1.5794682823550916
kmeans,low_data,2,50,10,10,0.7389749660052018,0.8404933163498899,1.5794682823550916
kmeans,low_data,2,100,10,1,0.3494484482634418,0.6373336253938281,0.9867820736572699
kmeans,low_data,2,100,10,2,0.48146660678136044,0.744094332584751,1.2255609393661113
kmeans,low_data,2,100,10,3,0.48146660678136044,0.744094332584751,1.2255609393661113
kmeans,low_data,2,100,10,4,0.657878178186769,0.8396028900373251,1.497481068224094
kmeans,low_data,2,100,10,5,0.657878178186769,0.8396028900373251,1.497481068224094
kmeans,low_data,2,100,10,6,0.657878178186769,0.8396028900373251,1.497481068224094
kmeans,low_data,2,100,10,7,0.657878178186769,0.8396028900373251,1.497481068224094
kmeans,low_data,2,100,10,8,0.657878178186769,0.8396028900373251,1.497481068224094
kmeans,low_data,2,100,10,9,0.657878178186769,0.8396028900373251,1.497481068224094
kmeans,low_data,2,100,10,10,0.657878178186769,0.8396028900373251,1.497481068224094
