name,prefix,seed,dim,epsilon,min_samples,ari,nmi,sum
DBSCAN,new_data_scaled,0,2,0.001,2,-0.029374126440274494,0.2149334090207511,0.1855592825804766
DBSCAN,new_data_scaled,0,2,0.001,3,-0.015702597022444968,0.09685665492085875,0.08115405789841379
DBSCAN,new_data_scaled,0,2,0.001,4,-0.008037626693051882,0.04157011874316048,0.033532492050108595
DBSCAN,new_data_scaled,0,2,0.001,5,-0.0026708723924162786,0.012103640179163301,0.009432767786747023
DBSCAN,new_data_scaled,0,2,0.001,6,-0.0003939114943732998,0.001757899282558728,0.0013639877881854283
DBSCAN,new_data_scaled,0,2,0.001,7,0.0,0.0,0.0
DBSCAN,new_data_scaled,0,2,0.001,8,0.0,0.0,0.0
DBSCAN,new_data_scaled,0,2,0.001,9,0.0,0.0,0.0
DBSCAN,new_data_scaled,0,2,0.001,10,0.0,0.0,0.0
DBSCAN,new_data_scaled,0,2,0.001,11,0.0,0.0,0.0
DBSCAN,new_data_scaled,0,2,0.001,12,0.0,0.0,0.0
DBSCAN,new_data_scaled,0,2,0.001,13,0.0,0.0,0.0
DBSCAN,new_data_scaled,0,2,0.001,14,0.0,0.0,0.0
DBSCAN,new_data_scaled,0,2,0.001,15,0.0,0.0,0.0
DBSCAN,new_data_scaled,0,2,0.001,16,0.0,0.0,0.0
DBSCAN,new_data_scaled,0,2,0.001,17,0.0,0.0,0.0
DBSCAN,new_data_scaled,0,2,0.001,18,0.0,0.0,0.0
DBSCAN,new_data_scaled,0,2,0.001,19,0.0,0.0,0.0
DBSCAN,new_data_scaled,0,2,0.001,20,0.0,0.0,0.0
DBSCAN,new_data_scaled,0,2,0.002,2,-0.002972956676350537,0.3704179556272867,0.36744499895093613
DBSCAN,new_data_scaled,0,2,0.002,3,-0.023803567236549243,0.31432883248931676,0.2905252652527675
DBSCAN,new_data_scaled,0,2,0.002,4,-0.024997842541711793,0.25038734606273993,0.22538950352102816
DBSCAN,new_data_scaled,0,2,0.002,5,-0.021970090501695443,0.1800740658331868,0.15810397533149137
DBSCAN,new_data_scaled,0,2,0.002,6,-0.01902530467183517,0.12597813488237558,0.10695283021054042
DBSCAN,new_data_scaled,0,2,0.002,7,-0.01666976716094084,0.09555356685925065,0.0788837996983098
DBSCAN,new_data_scaled,0,2,0.002,8,-0.012491453016712837,0.06680660332478167,0.05431515030806883
DBSCAN,new_data_scaled,0,2,0.002,9,-0.007107543877177894,0.03564297155539584,0.02853542767821795
DBSCAN,new_data_scaled,0,2,0.002,10,-0.004910466064349467,0.02376218736624875,0.018851721301899285
DBSCAN,new_data_scaled,0,2,0.002,11,-0.004191059108563773,0.019802463463731313,0.01561140435516754
DBSCAN,new_data_scaled,0,2,0.002,12,-0.0027307581072299513,0.012740415300091632,0.01000965719286168
DBSCAN,new_data_scaled,0,2,0.002,13,-0.0025560704359198576,0.011880409347074409,0.00932433891115455
DBSCAN,new_data_scaled,0,2,0.002,14,-0.0024374294413824346,0.011306923142587905,0.008869493701205471
DBSCAN,new_data_scaled,0,2,0.002,15,-0.0013349739729449307,0.0061255449980662235,0.004790571025121293
DBSCAN,new_data_scaled,0,2,0.002,16,0.0,0.0,0.0
DBSCAN,new_data_scaled,0,2,0.002,17,0.0,0.0,0.0
DBSCAN,new_data_scaled,0,2,0.002,18,0.0,0.0,0.0
DBSCAN,new_data_scaled,0,2,0.002,19,0.0,0.0,0.0
DBSCAN,new_data_scaled,0,2,0.002,20,0.0,0.0,0.0
DBSCAN,new_data_scaled,0,2,0.003,2,0.24541823811042382,0.4950233057192916,0.7404415438297154
DBSCAN,new_data_scaled,0,2,0.003,3,0.1740698642785296,0.47371018481734534,0.6477800490958749
DBSCAN,new_data_scaled,0,2,0.003,4,0.10869911929113266,0.4302877764825269,0.5389868957736595
DBSCAN,new_data_scaled,0,2,0.003,5,0.037025629043633955,0.37318055149987706,0.410206180543511
DBSCAN,new_data_scaled,0,2,0.003,6,0.016546186339698534,0.32193813258578585,0.33848431892548436
DBSCAN,new_data_scaled,0,2,0.003,7,-0.0040985857855295365,0.27668007167036923,0.2725814858848397
DBSCAN,new_data_scaled,0,2,0.003,8,-0.00938584195968922,0.235301336239419,0.2259154942797298
DBSCAN,new_data_scaled,0,2,0.003,9,-0.011835096732615763,0.20040123707988516,0.1885661403472694
DBSCAN,new_data_scaled,0,2,0.003,10,-0.01505036779482878,0.16766329788792056,0.1526129300930918
DBSCAN,new_data_scaled,0,2,0.003,11,-0.017297723928719887,0.1444599801895845,0.1271622562608646
DBSCAN,new_data_scaled,0,2,0.003,12,-0.015175594273787623,0.12471877287981599,0.10954317860602837
DBSCAN,new_data_scaled,0,2,0.003,13,-0.012823956398281827,0.09624972170250236,0.08342576530422054
DBSCAN,new_data_scaled,0,2,0.003,14,-0.01113703465925472,0.07386470003163138,0.06272766537237666
DBSCAN,new_data_scaled,0,2,0.003,15,-0.010487705636028886,0.062396625966384935,0.051908920330356045
DBSCAN,new_data_scaled,0,2,0.003,16,-0.008572229008102013,0.04718698744525047,0.038614758437148455
DBSCAN,new_data_scaled,0,2,0.003,17,-0.008248872272034365,0.04498721196375033,0.036738339691715964
DBSCAN,new_data_scaled,0,2,0.003,18,-0.007296640310008657,0.03772753553453886,0.0304308952245302
DBSCAN,new_data_scaled,0,2,0.003,19,-0.006033936701308351,0.03055913457090247,0.024525197869594118
DBSCAN,new_data_scaled,0,2,0.003,20,-0.004832733777351174,0.024148198767225588,0.019315464989874413
DBSCAN,new_data_scaled,0,2,0.004,2,0.4499158946729134,0.6010761448249892,1.0509920394979027
DBSCAN,new_data_scaled,0,2,0.004,3,0.38697200096509166,0.5965874431647353,0.983559444129827
DBSCAN,new_data_scaled,0,2,0.004,4,0.3000205017661638,0.565563632625548,0.8655841343917118
DBSCAN,new_data_scaled,0,2,0.004,5,0.23356044030039155,0.5278067135925986,0.7613671538929901
DBSCAN,new_data_scaled,0,2,0.004,6,0.18063432913289976,0.4881094017329905,0.6687437308658902
DBSCAN,new_data_scaled,0,2,0.004,7,0.1307110261430216,0.44508441608087806,0.5757954422238997
DBSCAN,new_data_scaled,0,2,0.004,8,0.09488609766232452,0.4099139166761447,0.5048000143384692
DBSCAN,new_data_scaled,0,2,0.004,9,0.07871361903320259,0.37629867406647305,0.4550122930996756
DBSCAN,new_data_scaled,0,2,0.004,10,0.054940742388712605,0.3405576244703911,0.3954983668591037
DBSCAN,new_data_scaled,0,2,0.004,11,0.04803458879670391,0.3068635683092632,0.3548981571059671
DBSCAN,new_data_scaled,0,2,0.004,12,0.029883798596382398,0.27274072595683935,0.30262452455322175
DBSCAN,new_data_scaled,0,2,0.004,13,-0.0009049832657887954,0.23722045871897648,0.23631547545318768
DBSCAN,new_data_scaled,0,2,0.004,14,-0.0017610193505046875,0.21292199295401798,0.2111609736035133
DBSCAN,new_data_scaled,0,2,0.004,15,-0.005792645340140261,0.1938967542284031,0.18810410888826284
DBSCAN,new_data_scaled,0,2,0.004,16,-0.007507133004556122,0.1804936794039994,0.17298654639944328
DBSCAN,new_data_scaled,0,2,0.004,17,-0.0063829422016865285,0.16180800460271255,0.15542506240102602
DBSCAN,new_data_scaled,0,2,0.004,18,-0.009086102524243574,0.14519040673662115,0.13610430421237757
DBSCAN,new_data_scaled,0,2,0.004,19,-0.010190143681476766,0.13555062538225077,0.125360481700774
DBSCAN,new_data_scaled,0,2,0.004,20,-0.012349808035571544,0.10151243234781912,0.08916262431224757
DBSCAN,new_data_scaled,0,2,0.005,2,0.6271009941838567,0.6887123444604945,1.3158133386443511
DBSCAN,new_data_scaled,0,2,0.005,3,0.5793703527361115,0.6948711158601087,1.2742414685962202
DBSCAN,new_data_scaled,0,2,0.005,4,0.5043072046563062,0.6759674319139597,1.1802746365702659
DBSCAN,new_data_scaled,0,2,0.005,5,0.4281565118402074,0.6458997838460172,1.0740562956862245
DBSCAN,new_data_scaled,0,2,0.005,6,0.36332957548953965,0.6149874359384186,0.9783170114279582
DBSCAN,new_data_scaled,0,2,0.005,7,0.27485214164372884,0.567761881277138,0.8426140229208668
DBSCAN,new_data_scaled,0,2,0.005,8,0.2234252394946372,0.5353908734825399,0.7588161129771771
DBSCAN,new_data_scaled,0,2,0.005,9,0.1830579762871773,0.4995455285308592,0.6826035048180366
DBSCAN,new_data_scaled,0,2,0.005,10,0.1534722799274888,0.47022303952179173,0.6236953194492805
DBSCAN,new_data_scaled,0,2,0.005,11,0.13647191678006101,0.4462474471490807,0.5827193639291417
DBSCAN,new_data_scaled,0,2,0.005,12,0.10416900170051856,0.41301479718973033,0.5171837988902489
