name,prefix,seed,dim,k,beta,ari,nmi,sum
DCF,new_data_scaled,0,2,3,0.5,0.007339831125637716,0.45688039461331637,0.4642202257389541
DCF,new_data_scaled,0,2,5,0.5,0.058483812551811364,0.5559970878444412,0.6144809003962526
DCF,new_data_scaled,0,2,6,0.5,0.12292245687744772,0.6078312648829285,0.7307537217603762
DCF,new_data_scaled,0,2,7,0.5,0.15077412330632364,0.6310820391544448,0.7818561624607685
DCF,new_data_scaled,0,2,8,0.5,0.22866557131712956,0.6675465031621589,0.8962120744792885
DCF,new_data_scaled,0,2,9,0.5,0.27732434062779954,0.7012246707751024,0.978549011402902
DCF,new_data_scaled,0,2,10,0.5,0.4147858580478343,0.7203496846625363,1.1351355427103706
DCF,new_data_scaled,0,2,11,0.5,0.38048731149239956,0.7257440178448321,1.1062313293372317
DCF,new_data_scaled,0,2,12,0.5,0.430480926375569,0.7364211127411877,1.1669020391167568
DCF,new_data_scaled,0,2,13,0.5,0.4643974798294267,0.7641003145273793,1.228497794356806
DCF,new_data_scaled,0,2,14,0.5,0.4673752081810428,0.7686058850844129,1.2359810932654556
DCF,new_data_scaled,0,2,15,0.5,0.49503566755701545,0.7674293021267401,1.2624649696837555
DCF,new_data_scaled,0,2,20,0.5,0.6283454646931877,0.8542829158568214,1.4826283805500091
DCF,new_data_scaled,0,2,25,0.5,0.6617183008492921,0.8595462338615062,1.5212645347107983
DCF,new_data_scaled,0,2,30,0.5,0.6505297126662926,0.8416679771085892,1.4921976897748817
DCF,new_data_scaled,0,2,35,0.5,0.6065077351966373,0.7902317458210057,1.396739481017643
DCF,new_data_scaled,0,2,40,0.5,0.8178195862313151,0.851788272619073,1.6696078588503882
DCF,new_data_scaled,0,2,45,0.5,0.7741475451233523,0.8408614150700567,1.615008960193409
DCF,new_data_scaled,0,2,50,0.5,0.371711814599002,0.6030085424697863,0.9747203570687883
DCF,new_data_scaled,0,2,55,0.5,0.40560676041191196,0.6246843578409126,1.0302911182528245
DCF,new_data_scaled,0,2,60,0.5,0.40624971486504774,0.626664511691472,1.0329142265565197
DCF,new_data_scaled,0,2,70,0.5,0.3610247099693009,0.561167553718122,0.9221922636874229
DCF,new_data_scaled,0,2,80,0.5,0.3139075321858354,0.5129043149075494,0.8268118470933847
DCF,new_data_scaled,0,2,90,0.5,0.5245473456529328,0.6733296638122025,1.1978770094651354
DCF,new_data_scaled,0,2,100,0.5,0.5721192055193031,0.7107985914438969,1.2829177969632
DCF,new_data_scaled,0,2,3,0.8,0.007453166500093673,0.45710994074830363,0.46456310724839733
DCF,new_data_scaled,0,2,5,0.8,0.13602321809169865,0.6069824720570981,0.7430056901487967
DCF,new_data_scaled,0,2,6,0.8,0.406554082263451,0.7361294977938717,1.1426835800573227
DCF,new_data_scaled,0,2,7,0.8,0.4890458713891087,0.757426735432379,1.2464726068214877
DCF,new_data_scaled,0,2,8,0.8,0.7158094451488403,0.8631108328620074,1.5789202780108478
DCF,new_data_scaled,0,2,9,0.8,0.8253209752791895,0.9151180775641777,1.7404390528433673
DCF,new_data_scaled,0,2,10,0.8,0.800042539292385,0.8998170149913716,1.6998595542837567
DCF,new_data_scaled,0,2,11,0.8,0.7837916102788379,0.9312757219587453,1.7150673322375831
DCF,new_data_scaled,0,2,12,0.8,0.9588156472369055,0.9623089103369715,1.9211245575738771
DCF,new_data_scaled,0,2,13,0.8,0.972279534323191,0.9754544463973623,1.9477339807205534
DCF,new_data_scaled,0,2,14,0.8,0.9810759891674284,0.9812256939115291,1.9623016830789575
DCF,new_data_scaled,0,2,15,0.8,0.959964661114483,0.966397975853065,1.926362636967548
DCF,new_data_scaled,0,2,20,0.8,0.6551342617366155,0.860086688162989,1.5152209498996045
DCF,new_data_scaled,0,2,25,0.8,0.6489685056717204,0.8664701577341618,1.5154386634058823
DCF,new_data_scaled,0,2,30,0.8,0.5725635924237944,0.7920370561265928,1.3646006485503872
DCF,new_data_scaled,0,2,35,0.8,0.4548990688201639,0.6684382376941257,1.1233373065142895
DCF,new_data_scaled,0,2,40,0.8,0.3696895474156391,0.5875077013151647,0.9571972487308038
DCF,new_data_scaled,0,2,45,0.8,0.24897958355479918,0.4463073398664603,0.6952869234212595
DCF,new_data_scaled,0,2,50,0.8,0.2374148221267437,0.4233014689232717,0.6607162910500154
DCF,new_data_scaled,0,2,55,0.8,0.36156265391508996,0.5651027729178215,0.9266654268329115
DCF,new_data_scaled,0,2,60,0.8,0.36156265391508996,0.5651027729178215,0.9266654268329115
DCF,new_data_scaled,0,2,70,0.8,0.13547033419555699,0.3518112521591843,0.4872815863547413
DCF,new_data_scaled,0,2,80,0.8,0.13564286311074294,0.35105965928198885,0.4867025223927318
DCF,new_data_scaled,0,2,90,0.8,0.23442341865834307,0.4051473027102591,0.6395707213686022
DCF,new_data_scaled,0,2,100,0.8,2.726276299387268e-05,0.00042247193537558916,0.00044973469836946184
DCF,new_data_scaled,0,2,3,0.9,0.007453166500093673,0.45710994074830363,0.46456310724839733
DCF,new_data_scaled,0,2,5,0.9,0.16410769443096943,0.6205417993865975,0.7846494938175669
DCF,new_data_scaled,0,2,6,0.9,0.5242458806879787,0.7815684144523473,1.305814295140326
DCF,new_data_scaled,0,2,7,0.9,0.8680709391801048,0.9040266371214347,1.7720975763015394
DCF,new_data_scaled,0,2,8,0.9,0.9682002036650194,0.9678378711578423,1.9360380748228616
DCF,new_data_scaled,0,2,9,0.9,0.9912244507915866,0.9866750663824883,1.977899517174075
DCF,new_data_scaled,0,2,10,0.9,0.9735255231786146,0.9722732892574993,1.9457988124361139
DCF,new_data_scaled,0,2,11,0.9,0.9772528787401202,0.9782079057248589,1.9554607844649792
DCF,new_data_scaled,0,2,12,0.9,0.960146741547963,0.9635533236548488,1.9237000652028118
