name,prefix,seed,dim,density_threshold,distance_threshold,gauss_cutoff,ari,nmi,sum
dpca,new_data_scaled,0,2,0.01,0.01,True,0.04981076770163336,0.36566495732175974,0.4154757250233931
dpca,new_data_scaled,0,2,0.01,0.02,True,0.22675176479104092,0.5187788795513888,0.7455306443424297
dpca,new_data_scaled,0,2,0.01,0.03,True,0.24597381032707483,0.5422824179901213,0.7882562283171961
dpca,new_data_scaled,0,2,0.01,0.04,True,0.24016401833977263,0.5445329755910792,0.7846969939308518
dpca,new_data_scaled,0,2,0.01,0.05,True,0.23902189126932225,0.5467734510690553,0.7857953423383776
dpca,new_data_scaled,0,2,0.01,0.06,True,0.2632118508732326,0.5513988445923202,0.8146106954655529
dpca,new_data_scaled,0,2,0.01,0.07,True,0.4143671747356099,0.6320866949117927,1.0464538696474026
dpca,new_data_scaled,0,2,0.01,0.08,True,0.4124423808799615,0.6324060686627057,1.044848449542667
dpca,new_data_scaled,0,2,0.01,0.09,True,0.40446407970757847,0.6242858701100301,1.0287499498176085
dpca,new_data_scaled,0,2,0.01,0.1,True,0.5311622426920691,0.6577934331483059,1.188955675840375
dpca,new_data_scaled,0,2,0.01,0.15,True,0.41298083523691637,0.5825613018689341,0.9955421371058504
dpca,new_data_scaled,0,2,0.01,0.2,True,0.1713587926927716,0.32149247015542814,0.49285126284819974
dpca,new_data_scaled,0,2,0.01,0.3,True,0.0,0.0,0.0
dpca,new_data_scaled,0,2,0.01,0.4,True,0.0,0.0,0.0
dpca,new_data_scaled,0,2,0.01,,True,0.5290466117349506,0.6596997125003725,1.1887463242353231
dpca,new_data_scaled,0,2,0.02,0.01,True,0.04971268218514894,0.36560032019455113,0.4153130023797001
dpca,new_data_scaled,0,2,0.02,0.02,True,0.22675365222505306,0.5188975022108535,0.7456511544359066
dpca,new_data_scaled,0,2,0.02,0.03,True,0.24597585090556776,0.542402505247155,0.7883783561527228
dpca,new_data_scaled,0,2,0.02,0.04,True,0.24016644494409065,0.5446690338423227,0.7848354787864134
dpca,new_data_scaled,0,2,0.02,0.05,True,0.23902585990747222,0.5469366355187677,0.7859624954262399
dpca,new_data_scaled,0,2,0.02,0.06,True,0.2632118508732326,0.5513988445923202,0.8146106954655529
dpca,new_data_scaled,0,2,0.02,0.07,True,0.4143671747356099,0.6320866949117927,1.0464538696474026
dpca,new_data_scaled,0,2,0.02,0.08,True,0.4124423808799615,0.6324060686627057,1.044848449542667
dpca,new_data_scaled,0,2,0.02,0.09,True,0.40446407970757847,0.6242858701100301,1.0287499498176085
dpca,new_data_scaled,0,2,0.02,0.1,True,0.5311622426920691,0.6577934331483059,1.188955675840375
dpca,new_data_scaled,0,2,0.02,0.15,True,0.41298083523691637,0.5825613018689341,0.9955421371058504
dpca,new_data_scaled,0,2,0.02,0.2,True,0.1713587926927716,0.32149247015542814,0.49285126284819974
